Date,Average Discount,Year,Month,Day,Week Day,Week End,Hijri Dates,eid ul fitr,eid ul Adha,Muharrum,Wheat Harvest,Cotton Harvest,brand t140p,brand v177j,brand T75q,brand w32S,brand G56h
04/01/2017,21,2017,4,1,0,1,74,0,0,0,1,0,0,0,0,0,0
04/02/2017,0,2017,4,2,0,1,75,0,0,0,1,0,1,0,0,0,0
04/03/2017,0,2017,4,3,1,0,76,0,0,0,1,0,1,0,0,0,0
04/04/2017,0,2017,4,4,1,0,77,0,0,0,1,0,0,0,0,0,0
04/06/2017,0,2017,4,6,1,0,79,0,0,0,1,0,0,0,0,0,0
04/07/2017,0,2017,4,7,1,0,710,0,0,0,1,0,0,0,0,0,0
04/08/2017,0,2017,4,8,0,1,711,0,0,0,1,0,0,0,0,0,0
04/09/2017,0,2017,4,9,0,1,712,0,0,0,1,0,0,0,1,0,0
04/10/2017,0,2017,4,10,1,0,713,0,0,0,1,0,0,0,0,0,0
04/11/2017,0,2017,4,11,1,0,714,0,0,0,1,0,0,0,1,0,0
04/12/2017,0,2017,4,12,1,0,715,0,0,0,1,0,0,0,0,0,0
13/04/2017,0,2017,4,13,1,0,716,0,0,0,1,0,0,0,0,0,0
14/04/2017,0,2017,4,14,1,0,717,0,0,0,1,0,0,1,0,0,0
16/04/2017,0,2017,4,16,0,1,719,0,0,0,1,0,0,0,0,0,0
17/04/2017,0,2017,4,17,1,0,720,0,0,0,1,0,0,0,0,0,0
18/04/2017,0,2017,4,18,1,0,721,0,0,0,1,0,0,0,0,0,0
19/04/2017,0,2017,4,19,1,0,722,0,0,0,1,0,0,0,0,0,0
20/04/2017,0,2017,4,20,1,0,723,0,0,0,1,0,0,0,0,0,0
21/04/2017,0,2017,4,21,1,0,724,0,0,0,1,0,0,0,0,0,0
23/04/2017,0,2017,4,23,0,1,726,0,0,0,1,0,0,0,0,0,0
24/04/2017,0,2017,4,24,1,0,727,0,0,0,1,0,0,0,0,0,0
25/04/2017,0,2017,4,25,1,0,728,0,0,0,1,0,0,0,0,0,0
26/04/2017,0,2017,4,26,1,0,729,0,0,0,1,0,0,0,0,0,0
27/04/2017,0,2017,4,27,1,0,81,0,0,0,1,0,0,0,0,0,0
28/04/2017,0,2017,4,28,1,0,82,0,0,0,1,0,0,0,0,0,0
29/04/2017,0,2017,4,29,0,1,83,0,0,0,1,0,0,1,0,0,0
30/04/2017,0,2017,4,30,0,1,84,0,0,0,1,0,0,0,0,0,0
05/01/2017,0,2017,5,1,1,0,85,0,0,0,1,0,1,0,0,0,0
05/03/2017,0,2017,5,3,1,0,87,0,0,0,1,0,0,0,0,0,0
05/04/2017,0,2017,5,4,1,0,88,0,0,0,1,0,0,-1,0,0,0
05/05/2017,0,2017,5,5,1,0,89,0,0,0,1,0,0,0,0,0,0
05/06/2017,0,2017,5,6,0,1,810,0,0,0,1,0,1,0,0,0,0
05/07/2017,0,2017,5,7,0,1,811,0,0,0,1,0,0,0,0,0,0
05/08/2017,0,2017,5,8,1,0,812,0,0,0,1,0,0,0,0,0,0
05/09/2017,20,2017,5,9,1,0,813,0,0,0,1,0,0,0,0,0,0
05/10/2017,0,2017,5,10,1,0,814,0,0,0,1,0,0,0,0,0,0
05/11/2017,0,2017,5,11,1,0,815,0,0,0,1,0,0,0,0,0,0
05/12/2017,0,2017,5,12,1,0,816,0,0,0,1,0,0,0,0,0,0
13/05/2017,0,2017,5,13,0,1,817,0,0,0,1,0,0,0,0,0,0
14/05/2017,0,2017,5,14,0,1,818,0,0,0,1,0,0,0,0,0,0
15/05/2017,0,2017,5,15,1,0,819,0,0,0,1,0,0,0,0,0,0
16/05/2017,0,2017,5,16,1,0,820,0,0,0,1,0,0,0,0,0,0
17/05/2017,0,2017,5,17,1,0,821,0,0,0,1,0,0,0,0,0,0
18/05/2017,0,2017,5,18,1,0,822,0,0,0,1,0,0,0,0,0,0
19/05/2017,0,2017,5,19,1,0,823,0,0,0,1,0,0,0,0,0,0
20/05/2017,0,2017,5,20,0,1,824,0,0,0,1,0,0,0,0,0,0
21/05/2017,0,2017,5,21,0,1,825,0,0,0,1,0,0,0,0,0,0
22/05/2017,20,2017,5,22,1,0,826,0,0,0,1,0,0,0,0,0,0
23/05/2017,0,2017,5,23,1,0,827,0,0,0,1,0,0,0,0,0,0
24/05/2017,0,2017,5,24,1,0,828,0,0,0,1,0,0,0,0,0,0
25/05/2017,25,2017,5,25,1,0,829,0,0,0,1,0,0,0,0,0,0
26/05/2017,0,2017,5,26,1,0,830,0,0,0,1,0,0,0,0,0,0
27/05/2017,0,2017,5,27,0,1,91,0,0,0,1,0,0,0,0,0,0
28/05/2017,15,2017,5,28,0,1,92,0,0,0,1,0,0,0,0,0,0
29/05/2017,0,2017,5,29,1,0,93,0,0,0,1,0,0,0,0,0,0
30/05/2017,0,2017,5,30,1,0,94,0,0,0,1,0,0,0,0,0,0
31/05/2017,20,2017,5,31,1,0,95,0,0,0,1,0,0,0,0,0,0
06/01/2017,0,2017,6,1,1,0,96,0,0,0,0,0,0,0,0,0,0
06/03/2017,0,2017,6,3,0,1,98,0,0,0,0,0,0,0,0,0,0
06/04/2017,20,2017,6,4,0,1,99,0,0,0,0,0,0,0,0,0,0
06/05/2017,0,2017,6,5,1,0,910,0,0,0,0,0,0,0,0,0,0
06/06/2017,0,2017,6,6,1,0,911,0,0,0,0,0,0,0,0,0,0
06/07/2017,20,2017,6,7,1,0,912,0,0,0,0,0,0,0,0,0,0
06/08/2017,0,2017,6,8,1,0,913,0,0,0,0,0,0,0,0,0,0
06/09/2017,0,2017,6,9,1,0,914,0,0,0,0,0,0,0,0,0,0
06/10/2017,20,2017,6,10,0,1,915,0,0,0,0,0,0,0,0,0,0
06/11/2017,0,2017,6,11,0,1,916,0,0,0,0,0,0,0,0,0,0
06/12/2017,20,2017,6,12,1,0,917,1,0,0,0,0,0,0,0,0,0
13/06/2017,0,2017,6,13,1,0,918,1,0,0,0,0,1,0,0,0,0
14/06/2017,0,2017,6,14,1,0,919,1,0,0,0,0,0,0,0,0,0
15/06/2017,0,2017,6,15,1,0,920,1,0,0,0,0,0,0,0,0,0
16/06/2017,20,2017,6,16,1,0,921,1,0,0,0,0,0,0,1,0,0
