,Date,NON BR,VERSACE,NILAY,PIERE CARDIN,PIER CARDIN,NURTEKS,NON B,NONB,BONDY,JEREMI,NURTEEKS,AYDOGAN,IMAJ,ANIL
0,06/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,05/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,09/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,28/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,07/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,13/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,17/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,17/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17/07/2017,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17/07/2017,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17/07/2017,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,25/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,26/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,01/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,01/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,16/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,17/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20/08/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,23/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,23/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,23/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24/08/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,25/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,01/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
