,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand V209V,brand W196C,brand v177j,brand I232M,brand P144q,brand j12s,brand N239O,brand b49d,brand W52T,brand h216j,brand M84e
0,0,0,09/04/2017,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,29/04/2017,1,0,0,0,0,0,0,0,0,0,0,0
2,2,2,16/05/2017,1,0,0,0,0,0,0,0,0,0,0,0
3,3,3,21/05/2017,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,26/05/2017,1,0,0,0,0,0,0,0,0,0,0,0
5,5,5,19/07/2017,1,0,0,0,0,0,0,0,0,0,0,0
6,6,6,21/07/2017,0,1,0,0,0,0,0,0,0,0,0,0
7,7,7,07/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
8,8,8,09/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
9,9,9,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
10,10,10,12/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
11,11,11,17/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
12,12,12,18/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
13,13,13,18/08/2017,-1,0,0,0,0,0,0,0,0,0,0,0
14,14,14,19/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
15,15,15,23/08/2017,0,0,0,0,4,0,0,0,0,0,0,0
16,16,16,24/08/2017,0,0,0,1,0,0,0,0,0,0,0,0
17,17,17,26/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
18,18,18,30/08/2017,1,0,0,0,0,0,0,0,0,0,0,0
19,19,19,01/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
20,20,20,04/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
21,21,21,04/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
22,22,22,09/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
23,23,23,16/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
24,24,24,27/09/2017,1,0,0,0,0,0,0,0,0,0,0,0
25,25,25,27/09/2017,-1,0,0,0,0,0,0,0,0,0,0,0
26,26,26,05/10/2017,0,1,0,0,0,0,0,0,0,0,0,0
27,27,27,14/10/2017,1,0,0,0,0,0,0,0,0,0,0,0
28,28,28,20/10/2017,1,0,0,0,0,0,0,0,0,0,0,0
29,29,29,26/10/2017,1,0,0,0,0,0,0,0,0,0,0,0
30,30,30,04/11/2017,0,1,0,0,0,0,0,0,0,0,0,0
31,31,31,10/11/2017,1,0,0,0,0,0,0,0,0,0,0,0
32,32,32,12/11/2017,1,0,0,0,0,0,0,0,0,0,0,0
33,33,33,15/11/2017,1,0,0,0,0,0,0,0,0,0,0,0
34,34,34,16/11/2017,0,0,0,1,0,0,0,0,0,0,0,0
35,35,35,16/11/2017,0,0,0,-1,0,0,0,0,0,0,0,0
36,36,36,16/11/2017,0,0,0,1,0,0,0,0,0,0,0,0
37,37,37,21/11/2017,0,0,0,1,0,0,0,0,0,0,0,0
38,38,38,25/11/2017,0,0,0,1,0,0,0,0,0,0,0,0
39,39,39,27/11/2017,1,0,0,0,0,0,0,0,0,0,0,0
40,40,40,29/11/2017,0,1,0,0,0,0,0,0,0,0,0,0
41,41,41,01/12/2017,0,0,0,0,1,0,0,0,0,0,0,0
42,42,42,12/12/2017,1,0,0,0,0,0,0,0,0,0,0,0
43,43,43,20/12/2017,0,0,0,0,1,0,0,0,0,0,0,0
44,44,44,21/12/2017,1,0,0,0,0,0,0,0,0,0,0,0
45,45,45,01/01/2018,1,0,0,0,0,0,0,0,0,0,0,0
46,46,46,06/01/2018,0,0,0,0,1,0,0,0,0,0,0,0
47,47,47,20/01/2018,0,0,1,0,0,0,0,0,0,0,0,0
48,48,48,22/01/2018,1,0,0,0,0,0,0,0,0,0,0,0
49,49,49,01/02/2018,1,0,0,0,0,0,0,0,0,0,0,0
50,50,50,05/02/2018,1,0,0,0,0,0,0,0,0,0,0,0
51,51,51,12/02/2018,1,0,0,0,0,0,0,0,0,0,0,0
52,52,52,13/02/2018,0,0,1,0,0,0,0,0,0,0,0,0
