,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand v177j,brand I232M,brand V209V,brand P144q,brand j12s,brand Y213j,brand D203E,brand N239O,brand N97e,brand B197q,brand e250p,brand R124D,brand x20y,brand H165f,brand T75q
0,0,0,24/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,03/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,11/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,13/05/2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,17/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,18/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,25/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,25/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,25/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,22/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,23/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,13/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,20/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,03/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,08/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,18/08/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,22/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,28/08/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,01/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,04/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,07/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,07/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,07/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,07/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,07/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,14/09/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,14/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,15/09/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,23/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,15/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,16/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,22/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,23/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,23/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,26/10/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,35,29/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,30/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,30/10/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,38,04/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,04/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,05/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,10/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,11/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,11/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,17/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,18/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,46,46,22/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,47,23/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,26/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,29/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,50,50,30/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,01/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,52,10/12/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,53,53,10/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,10/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
