,Unnamed: 0,Unnamed: 0.1,Date,brand N239O,brand r18p,brand P144q,brand g93Y,brand p95p,brand o183O
0,0,0,01/04/2017,1,0,0,0,0,0
1,1,1,04/06/2017,2,0,0,0,0,0
2,2,2,30/06/2017,1,0,0,0,0,0
3,3,3,13/07/2017,1,0,0,0,0,0
4,4,4,26/07/2017,1,0,0,0,0,0
5,5,5,23/08/2017,6,0,0,0,0,0
6,6,6,27/10/2017,1,0,0,0,0,0
7,7,7,27/10/2017,2,0,0,0,0,0
8,8,8,03/12/2017,1,0,0,0,0,0
9,9,9,21/01/2018,1,0,0,0,0,0
10,10,10,09/02/2018,1,0,0,0,0,0
11,11,11,22/05/2018,1,0,0,0,0,0
12,12,12,09/06/2018,0,1,0,0,0,0
13,13,13,22/06/2018,1,0,0,0,0,0
14,14,14,27/06/2018,1,0,0,0,0,0
15,15,15,30/06/2018,0,1,0,0,0,0
16,16,16,13/07/2018,0,1,0,0,0,0
17,17,17,13/07/2018,1,0,0,0,0,0
18,18,18,02/08/2018,2,0,0,0,0,0
19,19,19,05/08/2018,1,0,0,0,0,0
20,20,20,01/09/2018,2,0,0,0,0,0
21,21,21,15/09/2018,1,0,0,0,0,0
22,22,22,29/09/2018,1,0,0,0,0,0
23,23,23,29/11/2018,1,0,0,0,0,0
24,24,24,20/12/2018,2,0,0,0,0,0
25,25,25,06/02/2019,1,0,0,0,0,0
26,26,26,01/03/2019,1,0,0,0,0,0
27,27,27,28/04/2019,2,0,0,0,0,0
28,28,28,01/05/2019,2,0,0,0,0,0
29,29,29,03/05/2019,1,0,0,0,0,0
30,30,30,10/05/2019,0,0,0,1,0,0
31,31,31,18/05/2019,0,0,1,0,0,0
32,32,32,18/05/2019,0,0,0,1,0,0
33,33,33,25/05/2019,1,0,0,0,0,0
34,34,34,02/06/2019,1,0,0,0,0,0
35,35,35,07/06/2019,1,0,0,0,0,0
36,36,36,26/06/2019,0,0,0,3,0,0
37,37,37,26/06/2019,0,0,1,0,0,0
38,38,38,05/07/2019,0,0,0,1,0,0
39,39,39,11/07/2019,0,0,1,0,0,0
40,40,40,13/07/2019,1,0,0,0,0,0
41,41,41,18/07/2019,1,0,0,0,0,0
42,42,42,19/07/2019,0,0,0,1,0,0
43,43,43,31/07/2019,0,0,0,1,0,0
44,44,44,09/08/2019,2,0,0,0,0,0
45,45,45,19/08/2019,0,0,0,1,0,0
46,46,46,05/09/2019,2,0,0,0,0,0
47,47,47,26/09/2019,0,0,0,0,1,0
48,48,48,02/10/2019,0,0,0,0,1,0
49,49,49,02/10/2019,0,0,0,0,1,0
50,50,50,03/10/2019,0,0,0,0,1,0
51,51,51,13/10/2019,0,0,0,0,1,0
52,52,52,12/11/2019,0,0,0,0,1,0
53,53,53,15/11/2019,0,0,0,0,2,0
54,54,54,24/11/2019,0,0,0,0,1,0
