,Unnamed: 0,Unnamed: 0.1,Date,brand t140p,brand P144q,brand m179b,brand Y206o
0,0,0,15/05/2017,1,0,0,0
1,1,1,22/06/2017,1,0,0,0
2,2,2,22/06/2017,1,0,0,0
3,3,3,22/06/2017,-1,0,0,0
4,4,4,22/06/2017,1,0,0,0
5,5,5,23/06/2017,1,0,0,0
6,6,6,23/06/2017,1,0,0,0
7,7,7,25/06/2017,1,0,0,0
8,8,8,05/08/2017,1,0,0,0
9,9,9,06/08/2017,1,0,0,0
10,10,10,12/08/2017,2,0,0,0
11,11,11,12/08/2017,1,0,0,0
12,12,12,16/09/2017,1,0,0,0
13,13,13,16/09/2017,1,0,0,0
14,14,14,19/10/2017,0,2,0,0
15,15,15,19/10/2017,0,1,0,0
16,16,16,27/10/2017,0,2,0,0
17,17,17,27/10/2017,0,1,0,0
18,18,18,03/12/2017,0,2,0,0
19,19,19,09/12/2017,1,0,0,0
20,20,20,25/12/2017,0,1,0,0
21,21,21,07/03/2018,0,1,0,0
22,22,22,07/03/2018,0,1,0,0
23,23,23,19/03/2018,0,1,0,0
24,24,24,28/04/2018,1,0,0,0
25,25,25,30/04/2018,1,0,0,0
26,26,26,30/04/2018,1,0,0,0
27,27,27,03/05/2018,-1,0,0,0
28,28,28,10/05/2018,1,0,0,0
29,29,29,16/05/2018,1,0,0,0
30,30,30,23/05/2018,1,0,0,0
31,31,31,25/05/2018,1,0,0,0
32,32,32,09/06/2018,1,0,0,0
33,33,33,10/06/2018,1,0,0,0
34,34,34,10/06/2018,1,0,0,0
35,35,35,13/06/2018,2,0,0,0
36,36,36,16/07/2018,1,0,0,0
37,37,37,19/07/2018,2,0,0,0
38,38,38,31/07/2018,1,0,0,0
39,39,39,04/08/2018,0,1,0,0
40,40,40,21/08/2018,0,0,1,0
41,41,41,21/08/2018,0,0,1,0
42,42,42,15/09/2018,1,0,0,0
43,43,43,22/09/2018,0,0,1,0
44,44,44,25/09/2018,0,2,0,0
45,45,45,25/09/2018,0,1,0,0
46,46,46,25/09/2018,0,2,0,0
47,47,47,25/09/2018,0,1,0,0
48,48,48,03/10/2018,0,0,1,0
49,49,49,04/10/2018,0,1,0,0
50,50,50,19/10/2018,0,0,1,0
51,51,51,19/10/2018,1,0,0,0
52,52,52,28/10/2018,0,0,1,0
53,53,53,05/11/2018,0,0,1,0
54,54,54,10/11/2018,1,0,0,0
55,55,55,24/11/2018,2,0,0,0
56,56,56,01/12/2018,2,0,0,0
57,57,57,08/12/2018,0,0,1,0
58,58,58,10/01/2019,1,0,0,0
59,59,59,18/02/2019,1,0,0,0
60,60,60,22/02/2019,1,0,0,0
61,61,61,16/04/2019,0,1,0,0
62,62,62,22/04/2019,0,1,0,0
63,63,63,24/04/2019,1,0,0,0
64,64,64,30/04/2019,0,2,0,0
65,65,65,19/05/2019,1,0,0,0
66,66,66,20/05/2019,0,1,0,0
67,67,67,21/05/2019,1,0,0,0
68,68,68,23/05/2019,1,0,0,0
69,69,69,28/05/2019,0,1,0,0
70,70,70,01/06/2019,1,0,0,0
71,71,71,04/06/2019,1,0,0,0
72,72,72,12/06/2019,1,0,0,0
73,73,73,21/06/2019,2,0,0,0
74,74,74,24/06/2019,2,0,0,0
75,75,75,27/06/2019,0,1,0,0
76,76,76,27/06/2019,1,0,0,0
77,77,77,27/06/2019,0,2,0,0
78,78,78,03/07/2019,0,1,0,0
79,79,79,21/07/2019,0,2,0,0
80,80,80,27/07/2019,0,-1,0,0
81,81,81,29/07/2019,0,2,0,0
82,82,82,09/08/2019,0,1,0,0
83,83,83,09/08/2019,0,1,0,0
84,84,84,17/08/2019,0,1,0,0
85,85,85,17/08/2019,0,2,0,0
86,86,86,21/08/2019,1,0,0,0
87,87,87,01/09/2019,0,1,0,0
88,88,88,06/10/2019,0,1,0,0
89,89,89,08/11/2019,0,1,0,0
90,90,90,19/01/2020,0,2,0,0
91,91,91,04/02/2020,0,1,0,0
92,92,92,14/02/2020,0,1,0,0
93,93,93,24/02/2020,0,1,0,0
94,94,94,27/02/2020,2,0,0,0
95,95,95,12/03/2020,1,0,0,0
96,96,96,16/06/2020,0,1,0,0
97,97,97,23/06/2020,0,1,0,0
98,98,98,24/06/2020,0,-1,0,0
99,99,99,07/07/2020,2,0,0,0
100,100,100,07/07/2020,4,0,0,0
101,101,101,27/07/2020,1,0,0,0
102,102,102,14/08/2020,2,0,0,0
103,103,103,17/08/2020,2,0,0,0
104,104,104,22/08/2020,1,0,0,0
105,105,105,12/09/2020,1,0,0,0
106,106,106,19/09/2020,0,4,0,0
107,107,107,20/09/2020,0,2,0,0
108,108,108,07/10/2020,1,0,0,0
109,109,109,10/10/2020,0,1,0,0
110,110,110,18/12/2020,0,1,0,0
111,111,111,03/01/2021,0,27,0,0
112,112,112,03/01/2021,13,0,0,0
113,113,113,16/01/2021,0,1,0,0
114,114,114,26/01/2021,0,1,0,0
115,115,115,06/02/2021,0,1,0,0
116,116,116,23/02/2021,1,0,0,0
117,117,117,10/03/2021,1,0,0,0
118,118,118,11/03/2021,0,1,0,0
119,119,119,24/03/2021,1,0,0,0
120,120,120,24/03/2021,0,1,0,0
121,121,121,25/03/2021,0,1,0,0
122,122,122,26/03/2021,0,1,0,0
123,123,123,06/05/2021,0,1,0,0
124,124,124,06/05/2021,0,1,0,0
125,125,125,07/05/2021,0,1,0,0
126,126,126,07/05/2021,0,3,0,0
127,127,127,21/05/2021,0,1,0,0
128,128,128,25/05/2021,0,1,0,0
129,129,129,28/05/2021,0,1,0,0
130,130,130,31/05/2021,0,0,0,2
131,131,131,01/06/2021,0,0,0,1
132,132,132,02/06/2021,0,0,0,1
133,133,133,03/06/2021,0,0,0,2
134,134,134,04/06/2021,0,0,0,1
135,135,135,08/06/2021,0,1,0,0
136,136,136,10/06/2021,0,2,0,0
137,137,137,10/06/2021,0,-2,0,0
138,138,138,10/06/2021,0,1,0,0
139,139,139,11/06/2021,0,1,0,0
140,140,140,15/06/2021,0,0,0,1
141,141,141,17/06/2021,0,1,0,0
142,142,142,18/06/2021,0,1,0,0
143,143,143,19/06/2021,0,0,0,1
144,144,144,21/06/2021,0,0,0,2
145,145,145,22/06/2021,0,1,0,0
146,146,146,22/06/2021,0,0,0,1
147,147,147,22/06/2021,0,2,0,0
148,148,148,24/06/2021,0,0,0,1
149,149,149,24/06/2021,0,0,0,1
150,150,150,24/06/2021,0,0,0,1
151,151,151,26/06/2021,0,1,0,0
152,152,152,02/07/2021,0,2,0,0
153,153,153,05/07/2021,0,0,0,1
154,154,154,05/07/2021,0,1,0,0
155,155,155,05/07/2021,0,1,0,0
156,156,156,06/07/2021,0,2,0,0
157,157,157,07/07/2021,0,0,0,1
158,158,158,10/07/2021,0,1,0,0
159,159,159,12/07/2021,0,0,0,1
160,160,160,13/07/2021,0,2,0,0
161,161,161,13/07/2021,0,0,0,1
162,162,162,15/07/2021,0,0,0,1
163,163,163,16/07/2021,0,0,0,1
164,164,164,16/07/2021,0,0,0,1
165,165,165,17/07/2021,-1,0,0,0
166,166,166,17/07/2021,0,0,0,1
167,167,167,17/07/2021,0,1,0,0
168,168,168,19/07/2021,0,1,0,0
169,169,169,19/07/2021,0,1,0,0
170,170,170,19/07/2021,0,2,0,0
171,171,171,19/07/2021,0,1,0,0
172,172,172,20/07/2021,0,1,0,0
173,173,173,29/07/2021,1,0,0,0
174,174,174,10/08/2021,0,1,0,0
175,175,175,16/08/2021,0,2,0,0
176,176,176,20/08/2021,0,3,0,0
177,177,177,24/08/2021,0,0,0,1
178,178,178,24/08/2021,0,1,0,0
179,179,179,27/08/2021,2,0,0,0
180,180,180,02/09/2021,-2,0,0,0
181,181,181,29/09/2021,0,2,0,0
182,182,182,09/10/2021,1,0,0,0
183,183,183,09/10/2021,0,1,0,0
184,184,184,21/10/2021,0,1,0,0
185,185,185,08/11/2021,0,3,0,0
186,186,186,13/11/2021,0,1,0,0
187,187,187,13/11/2021,0,1,0,0
188,188,188,14/11/2021,0,1,0,0
189,189,189,17/11/2021,0,1,0,0
190,190,190,19/11/2021,0,1,0,0
191,191,191,23/11/2021,1,0,0,0
192,192,192,25/11/2021,2,0,0,0
