,Unnamed: 0,Unnamed: 0.1,Date,brand P144q,brand Y206o
0,0,0,08/04/2017,1,0
1,1,1,08/04/2017,-1,0
2,2,2,09/04/2017,1,0
3,3,3,09/04/2017,1,0
4,4,4,18/04/2017,2,0
5,5,5,21/05/2017,1,0
6,6,6,06/06/2017,1,0
7,7,7,13/06/2017,1,0
8,8,8,17/06/2017,1,0
9,9,9,21/06/2017,2,0
10,10,10,18/07/2017,1,0
11,11,11,20/07/2017,1,0
12,12,12,03/08/2017,1,0
13,13,13,06/08/2017,1,0
14,14,14,11/08/2017,1,0
15,15,15,12/08/2017,1,0
16,16,16,06/09/2017,1,0
17,17,17,06/09/2017,1,0
18,18,18,24/09/2017,1,0
19,19,19,05/10/2017,1,0
20,20,20,22/10/2017,1,0
21,21,21,30/10/2017,1,0
22,22,22,02/11/2017,1,0
23,23,23,07/11/2017,1,0
24,24,24,10/11/2017,1,0
25,25,25,19/11/2017,1,0
26,26,26,20/11/2017,1,0
27,27,27,25/11/2017,1,0
28,28,28,26/11/2017,2,0
29,29,29,28/11/2017,1,0
30,30,30,01/12/2017,2,0
31,31,31,04/12/2017,2,0
32,32,32,08/01/2018,1,0
33,33,33,16/02/2018,1,0
34,34,34,18/02/2018,1,0
35,35,35,21/02/2018,1,0
36,36,36,24/03/2018,1,0
37,37,37,02/04/2018,1,0
38,38,38,04/04/2018,1,0
39,39,39,05/04/2018,1,0
40,40,40,08/04/2018,1,0
41,41,41,09/06/2018,1,0
42,42,42,09/06/2018,1,0
43,43,43,19/06/2018,1,0
44,44,44,23/06/2018,1,0
45,45,45,19/07/2018,1,0
46,46,46,21/07/2018,1,0
47,47,47,27/07/2018,1,0
48,48,48,28/07/2018,4,0
49,49,49,29/07/2018,2,0
50,50,50,05/08/2018,1,0
51,51,51,18/08/2018,1,0
52,52,52,20/08/2018,1,0
53,53,53,27/08/2018,1,0
54,54,54,04/09/2018,1,0
55,55,55,09/09/2018,1,0
56,56,56,27/09/2018,1,0
57,57,57,02/10/2018,2,0
58,58,58,16/10/2018,1,0
59,59,59,16/10/2018,3,0
60,60,60,25/10/2018,1,0
61,61,61,25/10/2018,1,0
62,62,62,06/11/2018,1,0
63,63,63,17/11/2018,1,0
64,64,64,20/11/2018,1,0
65,65,65,05/12/2018,1,0
66,66,66,08/12/2018,2,0
67,67,67,18/12/2018,1,0
68,68,68,09/01/2019,1,0
69,69,69,16/01/2019,1,0
70,70,70,23/01/2019,1,0
71,71,71,01/02/2019,1,0
72,72,72,09/02/2019,2,0
73,73,73,13/02/2019,1,0
74,74,74,15/02/2019,1,0
75,75,75,18/02/2019,1,0
76,76,76,25/02/2019,1,0
77,77,77,27/02/2019,1,0
78,78,78,09/03/2019,2,0
79,79,79,17/03/2019,1,0
80,80,80,30/03/2019,1,0
81,81,81,08/04/2019,1,0
82,82,82,16/04/2019,1,0
83,83,83,16/04/2019,1,0
84,84,84,18/04/2019,1,0
85,85,85,19/04/2019,1,0
86,86,86,19/04/2019,1,0
87,87,87,20/04/2019,1,0
88,88,88,23/04/2019,1,0
89,89,89,05/05/2019,2,0
90,90,90,14/05/2019,1,0
91,91,91,16/06/2019,1,0
92,92,92,26/06/2019,1,0
93,93,93,11/07/2019,1,0
94,94,94,27/07/2019,4,0
95,95,95,04/08/2019,1,0
96,96,96,17/08/2019,2,0
97,97,97,24/08/2019,1,0
98,98,98,07/09/2019,1,0
99,99,99,08/09/2019,1,0
100,100,100,24/10/2019,1,0
101,101,101,29/10/2019,1,0
102,102,102,08/11/2019,1,0
103,103,103,21/11/2019,1,0
104,104,104,17/12/2019,2,0
105,105,105,20/12/2019,1,0
106,106,106,22/12/2019,1,0
107,107,107,31/12/2019,1,0
108,108,108,22/01/2020,1,0
109,109,109,24/01/2020,1,0
110,110,110,29/01/2020,1,0
111,111,111,07/02/2020,1,0
112,112,112,20/02/2020,1,0
113,113,113,22/02/2020,1,0
114,114,114,22/02/2020,1,0
115,115,115,25/02/2020,1,0
116,116,116,10/03/2020,1,0
117,117,117,15/03/2020,1,0
118,118,118,19/03/2020,2,0
119,119,119,22/05/2020,1,0
120,120,120,17/06/2020,2,0
121,121,121,14/07/2020,1,0
122,122,122,07/09/2020,1,0
123,123,123,23/09/2020,1,0
124,124,124,02/10/2020,1,0
125,125,125,08/10/2020,1,0
126,126,126,13/10/2020,1,0
127,127,127,13/10/2020,1,0
128,128,128,15/10/2020,1,0
129,129,129,16/10/2020,1,0
130,130,130,19/10/2020,1,0
131,131,131,21/10/2020,1,0
132,132,132,21/10/2020,1,0
133,133,133,24/10/2020,1,0
134,134,134,10/11/2020,1,0
135,135,135,17/11/2020,1,0
