,Unnamed: 0,Unnamed: 0.1,Date,brand i125I,brand N197j,brand h180N,brand R33P,brand j19c,brand N59L,brand E98a,brand Z83w,brand S245l,brand V182u,brand T227H
0,0,0,01/04/2017,0,0,1,0,0,0,0,0,0,0,0
1,1,1,01/04/2017,0,0,0,0,1,0,0,0,0,0,0
2,2,2,01/04/2017,0,0,1,0,0,0,0,0,0,0,0
3,3,3,01/04/2017,0,0,0,0,0,1,0,0,0,0,0
4,4,4,02/04/2017,0,0,0,0,0,1,0,0,0,0,0
5,5,5,02/04/2017,0,0,0,0,1,0,0,0,0,0,0
6,6,6,02/04/2017,0,0,0,0,1,0,0,0,0,0,0
7,7,7,02/04/2017,0,0,0,0,1,0,0,0,0,0,0
8,8,8,02/04/2017,0,0,0,0,1,0,0,0,0,0,0
9,9,9,02/04/2017,0,0,0,0,1,0,0,0,0,0,0
10,10,10,03/04/2017,0,0,0,0,1,0,0,0,0,0,0
11,11,11,03/04/2017,0,0,0,0,1,0,0,0,0,0,0
12,12,12,06/04/2017,0,0,1,0,0,0,0,0,0,0,0
13,13,13,06/04/2017,0,0,0,0,1,0,0,0,0,0,0
14,14,14,06/04/2017,0,0,1,0,0,0,0,0,0,0,0
15,15,15,06/04/2017,0,0,0,0,1,0,0,0,0,0,0
16,16,16,06/04/2017,0,0,0,0,1,0,0,0,0,0,0
17,17,17,06/04/2017,0,0,1,0,0,0,0,0,0,0,0
18,18,18,07/04/2017,0,0,1,0,0,0,0,0,0,0,0
19,19,19,07/04/2017,0,0,1,0,0,0,0,0,0,0,0
20,20,20,07/04/2017,0,0,1,0,0,0,0,0,0,0,0
21,21,21,07/04/2017,0,0,1,0,0,0,0,0,0,0,0
22,22,22,08/04/2017,0,0,0,0,1,0,0,0,0,0,0
23,23,23,08/04/2017,0,0,0,0,1,0,0,0,0,0,0
24,24,24,09/04/2017,0,0,0,0,0,1,0,0,0,0,0
25,25,25,09/04/2017,0,0,0,1,0,0,0,0,0,0,0
26,26,26,09/04/2017,0,0,0,0,0,1,0,0,0,0,0
27,27,27,09/04/2017,0,0,0,0,0,1,0,0,0,0,0
28,28,28,09/04/2017,0,0,1,0,0,0,0,0,0,0,0
29,29,29,10/04/2017,0,0,0,0,1,0,0,0,0,0,0
30,30,30,11/04/2017,0,0,0,0,0,1,0,0,0,0,0
31,31,31,11/04/2017,0,0,0,0,0,-1,0,0,0,0,0
32,32,32,11/04/2017,0,0,1,0,0,0,0,0,0,0,0
33,33,33,12/04/2017,0,0,0,0,1,0,0,0,0,0,0
34,34,34,12/04/2017,0,0,0,0,1,0,0,0,0,0,0
35,35,35,13/04/2017,0,0,0,0,1,0,0,0,0,0,0
36,36,36,14/04/2017,0,0,0,0,1,0,0,0,0,0,0
37,37,37,16/04/2017,0,0,0,0,1,0,0,0,0,0,0
