,Unnamed: 0,Unnamed: 0.1,Date,brand m179b,brand Y206o,brand r18p,brand e250p,brand T75q,brand V209V,brand Y213j,brand t96K,brand P144q,brand j12s,brand v177j,brand B222m,brand N239O,brand R124D,brand J246F,brand w32S,brand e26Z,brand i211A,brand k154H
0,0,0,02/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,06/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,06/04/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,08/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,09/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,18/04/2017,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,18/04/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,18/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,21/04/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,06/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,10/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11/05/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,11/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,15/05/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,16/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,18/05/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,20/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,23/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,26/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,29/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,29/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,31/05/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,31/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,04/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,06/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,08/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,11/06/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,11/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,13/06/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,21/06/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,21/06/2017,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,21/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,22/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,22/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,22/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,35,23/06/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,23/06/2017,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,38,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,39,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,23/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,23/06/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,23/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,25/06/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,46,26/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,47,26/06/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,48,29/06/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,04/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,50,04/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,07/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,52,07/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,53,12/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,12/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,55,12/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,12/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,57,12/07/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,12/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,59,13/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,13/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,14/07/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,62,19/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,20/07/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,64,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,65,20/07/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,66,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,20/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,68,22/07/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
