,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand m179b,brand G56h,brand N239O,brand P144q
0,0,0,15/10/2017,2,0,0,0,0
1,1,1,15/10/2017,1,0,0,0,0
2,2,2,27/10/2017,2,0,0,0,0
3,3,3,29/10/2017,1,0,0,0,0
4,4,4,02/11/2017,1,0,0,0,0
5,5,5,04/11/2017,1,0,0,0,0
6,6,6,08/11/2017,1,0,0,0,0
7,7,7,22/11/2017,1,0,0,0,0
8,8,8,24/11/2017,1,0,0,0,0
9,9,9,01/12/2017,1,0,0,0,0
10,10,10,14/12/2017,1,0,0,0,0
11,11,11,19/12/2017,1,0,0,0,0
12,12,12,19/12/2017,0,1,0,0,0
13,13,13,26/12/2017,1,0,0,0,0
14,14,14,06/01/2018,0,1,0,0,0
15,15,15,01/02/2018,1,0,0,0,0
16,16,16,15/02/2018,1,0,0,0,0
17,17,17,19/03/2018,0,1,0,0,0
18,18,18,30/03/2018,1,0,0,0,0
19,19,19,21/04/2018,0,0,2,0,0
20,20,20,15/05/2018,0,1,0,0,0
21,21,21,31/05/2018,0,1,0,0,0
22,22,22,30/06/2018,0,1,0,0,0
23,23,23,06/07/2018,0,1,0,0,0
24,24,24,07/07/2018,0,0,0,1,0
25,25,25,31/07/2018,0,0,0,1,0
26,26,26,13/08/2018,0,0,1,0,0
27,27,27,19/08/2018,0,0,0,1,0
28,28,28,24/08/2018,0,0,1,0,0
29,29,29,26/08/2018,0,1,0,0,0
30,30,30,31/08/2018,0,1,0,0,0
31,31,31,01/09/2018,0,0,0,1,0
32,32,32,12/09/2018,0,0,0,1,0
33,33,33,12/09/2018,0,0,0,1,0
34,34,34,16/09/2018,0,1,0,0,0
35,35,35,16/09/2018,0,1,0,0,0
36,36,36,24/09/2018,0,1,0,0,0
37,37,37,25/09/2018,0,0,0,-1,0
38,38,38,27/09/2018,0,1,0,0,0
39,39,39,17/10/2018,0,0,0,1,0
40,40,40,19/10/2018,0,1,0,0,0
41,41,41,20/10/2018,0,0,1,0,0
42,42,42,29/10/2018,0,0,0,1,0
43,43,43,31/10/2018,0,0,-1,0,0
44,44,44,26/11/2018,0,0,0,1,0
45,45,45,17/12/2018,0,0,0,1,0
46,46,46,04/01/2019,1,0,0,0,0
47,47,47,23/01/2019,0,0,1,0,0
48,48,48,11/02/2019,0,1,0,0,0
49,49,49,25/02/2019,0,1,0,0,0
50,50,50,25/02/2019,0,0,1,0,0
51,51,51,13/03/2019,0,0,0,1,0
52,52,52,15/03/2019,0,0,0,1,0
53,53,53,02/04/2019,0,1,0,0,0
54,54,54,11/05/2019,0,1,0,0,0
55,55,55,13/05/2019,0,0,0,1,0
56,56,56,14/06/2019,0,1,0,0,0
57,57,57,18/06/2019,0,0,0,1,0
58,58,58,01/07/2019,0,1,0,0,0
59,59,59,12/07/2019,0,0,0,1,0
60,60,60,15/07/2019,0,1,0,0,0
61,61,61,19/07/2019,0,1,0,0,0
62,62,62,24/07/2019,0,-1,0,0,0
63,63,63,26/07/2019,0,0,0,1,0
64,64,64,04/08/2019,0,0,0,1,0
65,65,65,17/08/2019,0,0,0,1,0
66,66,66,28/08/2019,0,1,0,0,0
67,67,67,05/09/2019,0,0,0,2,0
68,68,68,11/09/2019,0,1,0,0,0
69,69,69,11/09/2019,0,1,0,0,0
70,70,70,04/10/2019,0,1,0,0,0
71,71,71,13/10/2019,0,0,0,2,0
72,72,72,20/10/2019,0,1,0,0,0
73,73,73,10/11/2019,0,5,0,0,0
74,74,74,10/11/2019,0,1,0,0,0
75,75,75,17/11/2019,0,0,0,1,0
76,76,76,30/11/2019,0,0,0,1,0
77,77,77,30/11/2019,0,1,0,0,0
78,78,78,10/12/2019,0,0,0,1,0
79,79,79,16/12/2019,0,1,0,0,0
80,80,80,04/03/2020,0,1,0,0,0
81,81,81,19/05/2020,0,1,0,0,0
82,82,82,20/05/2020,0,1,0,0,0
83,83,83,21/05/2020,0,-1,0,0,0
84,84,84,05/06/2020,0,1,0,0,0
85,85,85,10/07/2020,0,0,0,1,0
86,86,86,20/07/2020,0,0,0,1,0
87,87,87,10/08/2020,0,0,0,1,0
88,88,88,10/08/2020,0,0,0,1,0
89,89,89,24/08/2020,0,0,0,1,0
90,90,90,10/09/2020,0,0,0,1,0
91,91,91,11/09/2020,0,0,0,1,0
92,92,92,18/09/2020,0,0,0,1,0
93,93,93,22/09/2020,0,0,0,1,0
94,94,94,30/09/2020,0,0,0,1,0
95,95,95,04/10/2020,0,0,0,2,0
96,96,96,21/10/2020,0,0,0,1,0
97,97,97,14/11/2020,0,1,0,0,0
98,98,98,10/12/2020,0,1,0,0,0
99,99,99,10/12/2020,0,1,0,0,0
100,100,100,15/12/2020,0,0,0,0,1
101,101,101,20/12/2020,0,0,0,0,1
102,102,102,23/12/2020,0,0,0,1,0
103,103,103,31/12/2020,0,0,0,0,1
104,104,104,02/01/2021,0,0,0,0,1
105,105,105,03/01/2021,0,1,0,0,0
106,106,106,03/01/2021,0,0,0,14,0
107,107,107,03/01/2021,0,0,0,0,1
108,108,108,03/01/2021,0,0,0,0,1
109,109,109,07/01/2021,0,0,0,0,1
110,110,110,07/01/2021,0,0,0,0,1
111,111,111,07/01/2021,0,0,0,0,1
112,112,112,07/01/2021,0,0,0,0,2
113,113,113,11/01/2021,0,1,0,0,0
114,114,114,17/01/2021,0,0,0,0,1
115,115,115,31/01/2021,0,0,0,0,1
116,116,116,31/01/2021,0,0,0,0,1
117,117,117,01/02/2021,0,0,0,0,1
118,118,118,02/02/2021,0,0,0,0,1
119,119,119,09/02/2021,0,1,0,0,0
120,120,120,09/02/2021,0,0,0,0,1
121,121,121,10/02/2021,0,0,0,0,1
122,122,122,04/03/2021,0,0,0,0,1
123,123,123,06/03/2021,0,0,0,0,2
124,124,124,09/03/2021,0,1,0,0,0
125,125,125,12/03/2021,0,1,0,0,0
126,126,126,22/03/2021,0,-1,0,0,0
127,127,127,23/03/2021,0,1,0,0,0
128,128,128,07/05/2021,0,0,0,0,1
129,129,129,19/05/2021,0,0,0,0,1
130,130,130,10/06/2021,0,0,0,0,1
131,131,131,17/06/2021,0,0,0,0,1
132,132,132,21/06/2021,0,0,0,0,1
133,133,133,26/06/2021,0,1,0,0,0
134,134,134,01/07/2021,0,0,0,0,1
135,135,135,14/07/2021,0,0,0,0,1
136,136,136,17/07/2021,0,0,0,0,1
137,137,137,17/07/2021,0,1,0,0,0
138,138,138,20/07/2021,0,0,0,0,1
139,139,139,29/07/2021,0,0,0,0,1
140,140,140,11/08/2021,0,1,0,0,0
141,141,141,17/08/2021,0,0,0,0,2
142,142,142,24/08/2021,0,0,0,0,2
143,143,143,24/08/2021,0,0,0,0,2
144,144,144,01/09/2021,0,0,0,0,1
145,145,145,07/09/2021,0,0,0,0,1
146,146,146,07/09/2021,0,0,0,0,1
147,147,147,08/09/2021,0,0,0,1,0
148,148,148,08/09/2021,0,0,0,0,1
149,149,149,08/09/2021,0,0,0,0,1
150,150,150,09/09/2021,0,0,0,0,1
151,151,151,15/09/2021,0,0,0,0,1
152,152,152,01/10/2021,0,0,0,0,2
153,153,153,01/10/2021,0,0,0,0,1
154,154,154,05/10/2021,0,0,0,0,1
155,155,155,06/10/2021,0,0,0,0,3
156,156,156,06/10/2021,0,0,0,0,1
157,157,157,07/10/2021,0,0,0,0,1
158,158,158,08/10/2021,0,0,0,0,-1
159,159,159,14/10/2021,0,0,0,0,1
160,160,160,15/10/2021,0,0,0,0,1
161,161,161,21/10/2021,0,0,0,0,1
162,162,162,21/10/2021,0,0,0,0,1
163,163,163,26/10/2021,0,0,0,0,1
164,164,164,28/10/2021,0,0,0,0,1
165,165,165,30/10/2021,0,0,0,0,2
166,166,166,05/11/2021,0,0,0,0,1
167,167,167,10/11/2021,0,0,0,0,1
168,168,168,11/11/2021,0,0,0,0,1
169,169,169,13/11/2021,0,0,0,0,1
170,170,170,15/11/2021,0,0,0,0,1
171,171,171,26/11/2021,0,0,0,0,1
172,172,172,27/11/2021,0,0,0,0,1
173,173,173,28/11/2021,0,0,0,0,1
