,Unnamed: 0,Unnamed: 0.1,Date,brand t140p,brand Y119h,brand Z199j,brand r18p,brand u199P,brand P144q,brand C112Z,brand x92E,brand T121J,brand N239O,brand w211L,brand H167z,brand k89w
0,0,0,01/04/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,02/04/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,2,02/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,3,09/04/2017,0,0,0,2,0,0,0,0,0,0,0,0,0
4,4,4,09/04/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,5,12/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
6,6,6,13/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,16/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
8,8,8,16/04/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,9,18/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10,10,24/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,24/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,24/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
13,13,13,24/04/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
14,14,14,30/04/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
15,15,15,30/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,01/05/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
17,17,17,01/05/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
18,18,18,03/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
19,19,19,04/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
20,20,20,06/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
21,21,21,06/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
22,22,22,06/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
23,23,23,08/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
24,24,24,08/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
25,25,25,09/05/2017,0,0,1,0,0,0,0,0,0,0,0,0,0
26,26,26,11/05/2017,0,1,0,0,0,0,0,0,0,0,0,0,0
27,27,27,13/05/2017,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,28,13/05/2017,2,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,13/05/2017,0,0,2,0,0,0,0,0,0,0,0,0,0
