,Unnamed: 0,Unnamed: 0.1,Date,brand Y119h,brand P144q,brand w211L,brand k89w,brand C112Z
0,0,0,20/07/2017,1,0,0,0,0
1,1,1,23/08/2017,26,0,0,0,0
2,2,2,25/11/2017,1,0,0,0,0
3,3,3,14/12/2017,1,0,0,0,0
4,4,4,25/12/2017,1,0,0,0,0
5,5,5,25/01/2018,3,0,0,0,0
6,6,6,21/03/2018,1,0,0,0,0
7,7,7,13/03/2019,1,0,0,0,0
8,8,8,11/04/2019,1,0,0,0,0
9,9,9,01/05/2019,1,0,0,0,0
10,10,10,22/06/2019,1,0,0,0,0
11,11,11,23/08/2019,1,0,0,0,0
12,12,12,12/09/2019,1,0,0,0,0
13,13,13,16/10/2019,0,1,0,0,0
14,14,14,17/10/2019,0,1,0,0,0
15,15,15,26/10/2019,0,1,0,0,0
16,16,16,01/11/2019,0,1,0,0,0
17,17,17,09/11/2019,0,1,0,0,0
18,18,18,10/11/2019,0,1,0,0,0
19,19,19,10/11/2019,0,1,0,0,0
20,20,20,11/11/2019,0,1,0,0,0
21,21,21,17/11/2019,0,1,0,0,0
22,22,22,17/11/2019,0,1,0,0,0
23,23,23,20/11/2019,0,1,0,0,0
24,24,24,21/11/2019,0,1,0,0,0
25,25,25,25/11/2019,0,1,0,0,0
26,26,26,29/11/2019,0,2,0,0,0
27,27,27,30/11/2019,0,1,0,0,0
28,28,28,30/11/2019,0,2,0,0,0
29,29,29,06/12/2019,0,1,0,0,0
30,30,30,08/12/2019,0,1,0,0,0
31,31,31,08/12/2019,0,2,0,0,0
32,32,32,15/12/2019,0,1,0,0,0
33,33,33,18/12/2019,0,1,0,0,0
34,34,34,18/12/2019,0,1,0,0,0
35,35,35,22/12/2019,0,1,0,0,0
36,36,36,27/12/2019,0,1,0,0,0
37,37,37,31/12/2019,0,1,0,0,0
38,38,38,13/01/2020,0,1,0,0,0
39,39,39,16/01/2020,0,1,0,0,0
40,40,40,16/01/2020,0,1,0,0,0
41,41,41,30/01/2020,0,1,0,0,0
42,42,42,02/02/2020,0,1,0,0,0
43,43,43,04/02/2020,0,2,0,0,0
44,44,44,06/02/2020,0,1,0,0,0
45,45,45,02/03/2020,0,1,0,0,0
46,46,46,04/03/2020,0,1,0,0,0
47,47,47,05/03/2020,0,1,0,0,0
48,48,48,20/05/2020,0,1,0,0,0
49,49,49,20/05/2020,0,1,0,0,0
50,50,50,21/05/2020,0,1,0,0,0
51,51,51,22/05/2020,0,1,0,0,0
52,52,52,22/05/2020,0,1,0,0,0
53,53,53,17/06/2020,0,1,0,0,0
54,54,54,07/07/2020,0,1,0,0,0
55,55,55,07/07/2020,0,1,0,0,0
56,56,56,07/07/2020,0,1,0,0,0
57,57,57,09/07/2020,0,0,1,0,0
58,58,58,15/07/2020,0,1,0,0,0
59,59,59,17/07/2020,0,2,0,0,0
60,60,60,21/07/2020,0,1,0,0,0
61,61,61,21/07/2020,0,1,0,0,0
62,62,62,24/07/2020,0,1,0,0,0
63,63,63,27/07/2020,0,1,0,0,0
64,64,64,06/08/2020,0,1,0,0,0
65,65,65,17/08/2020,0,1,0,0,0
66,66,66,17/08/2020,0,1,0,0,0
67,67,67,26/08/2020,0,1,0,0,0
68,68,68,26/08/2020,0,1,0,0,0
69,69,69,26/08/2020,0,1,0,0,0
70,70,70,07/09/2020,0,1,0,0,0
71,71,71,07/09/2020,0,1,0,0,0
72,72,72,11/09/2020,0,1,0,0,0
73,73,73,14/09/2020,0,0,1,0,0
74,74,74,14/09/2020,0,1,0,0,0
75,75,75,14/09/2020,0,1,0,0,0
76,76,76,16/09/2020,0,4,0,0,0
77,77,77,17/09/2020,0,2,0,0,0
78,78,78,21/09/2020,0,1,0,0,0
79,79,79,22/09/2020,0,0,1,0,0
80,80,80,23/09/2020,1,0,0,0,0
81,81,81,26/09/2020,0,0,1,0,0
82,82,82,30/09/2020,0,1,0,0,0
83,83,83,11/11/2020,1,0,0,0,0
84,84,84,11/11/2020,0,3,0,0,0
85,85,85,15/11/2020,0,1,0,0,0
86,86,86,21/11/2020,0,1,0,0,0
87,87,87,23/11/2020,0,1,0,0,0
88,88,88,24/11/2020,0,0,1,0,0
89,89,89,28/12/2020,0,1,0,0,0
90,90,90,31/12/2020,0,1,0,0,0
91,91,91,31/12/2020,0,1,0,0,0
92,92,92,02/01/2021,0,1,0,0,0
93,93,93,04/01/2021,0,1,0,0,0
94,94,94,04/01/2021,0,1,0,0,0
95,95,95,04/01/2021,0,12,0,0,0
96,96,96,04/01/2021,0,-1,0,0,0
97,97,97,04/01/2021,0,-1,0,0,0
98,98,98,04/01/2021,0,2,0,0,0
99,99,99,04/01/2021,0,-2,0,0,0
100,100,100,04/01/2021,0,2,0,0,0
101,101,101,04/01/2021,-4,0,0,0,0
102,102,102,04/01/2021,0,1,0,0,0
103,103,103,08/01/2021,0,1,0,0,0
104,104,104,08/01/2021,0,1,0,0,0
105,105,105,09/01/2021,0,1,0,0,0
106,106,106,11/01/2021,0,1,0,0,0
107,107,107,22/01/2021,0,1,0,0,0
108,108,108,25/01/2021,0,1,0,0,0
109,109,109,25/01/2021,0,1,0,0,0
110,110,110,25/01/2021,0,1,0,0,0
111,111,111,05/02/2021,0,1,0,0,0
112,112,112,06/02/2021,0,1,0,0,0
113,113,113,09/02/2021,0,0,0,2,0
114,114,114,09/02/2021,0,1,0,0,0
115,115,115,10/02/2021,0,1,0,0,0
116,116,116,10/02/2021,0,1,0,0,0
117,117,117,13/02/2021,0,1,0,0,0
118,118,118,13/02/2021,0,1,0,0,0
119,119,119,13/02/2021,0,1,0,0,0
120,120,120,20/02/2021,0,1,0,0,0
121,121,121,20/02/2021,0,1,0,0,0
122,122,122,21/02/2021,0,1,0,0,0
123,123,123,27/02/2021,0,1,0,0,0
124,124,124,27/02/2021,0,2,0,0,0
125,125,125,28/02/2021,0,0,0,1,0
126,126,126,03/03/2021,1,0,0,0,0
127,127,127,03/03/2021,0,1,0,0,0
128,128,128,08/03/2021,0,1,0,0,0
129,129,129,08/03/2021,0,1,0,0,0
130,130,130,25/03/2021,0,1,0,0,0
131,131,131,31/03/2021,0,1,0,0,0
132,132,132,06/04/2021,0,1,0,0,0
133,133,133,23/04/2021,0,0,0,1,0
