,Unnamed: 0,Unnamed: 0.1,Date,brand Z199j,brand T75q,brand P87J,brand P144q,brand m240w,brand O139j,brand r213X,brand s167U
0,0,0,01/04/2017,2,0,0,0,0,0,0,0
1,1,1,02/04/2017,1,0,0,0,0,0,0,0
2,2,2,03/04/2017,0,1,0,0,0,0,0,0
3,3,3,07/04/2017,1,0,0,0,0,0,0,0
4,4,4,07/04/2017,1,0,0,0,0,0,0,0
5,5,5,09/04/2017,0,1,0,0,0,0,0,0
6,6,6,09/04/2017,0,1,0,0,0,0,0,0
7,7,7,10/04/2017,1,0,0,0,0,0,0,0
8,8,8,14/04/2017,0,1,0,0,0,0,0,0
9,9,9,16/04/2017,0,1,0,0,0,0,0,0
10,10,10,16/04/2017,0,1,0,0,0,0,0,0
11,11,11,16/04/2017,0,1,0,0,0,0,0,0
12,12,12,17/04/2017,1,0,0,0,0,0,0,0
13,13,13,18/04/2017,4,0,0,0,0,0,0,0
14,14,14,20/04/2017,1,0,0,0,0,0,0,0
15,15,15,29/04/2017,1,0,0,0,0,0,0,0
16,16,16,29/04/2017,1,0,0,0,0,0,0,0
17,17,17,30/04/2017,0,1,0,0,0,0,0,0
18,18,18,30/04/2017,1,0,0,0,0,0,0,0
19,19,19,05/05/2017,0,1,0,0,0,0,0,0
20,20,20,06/05/2017,0,1,0,0,0,0,0,0
21,21,21,07/05/2017,0,1,0,0,0,0,0,0
22,22,22,08/05/2017,0,1,0,0,0,0,0,0
23,23,23,09/05/2017,1,0,0,0,0,0,0,0
24,24,24,10/05/2017,1,0,0,0,0,0,0,0
25,25,25,12/05/2017,1,0,0,0,0,0,0,0
26,26,26,21/05/2017,0,1,0,0,0,0,0,0
27,27,27,26/05/2017,1,0,0,0,0,0,0,0
28,28,28,27/05/2017,0,1,0,0,0,0,0,0
29,29,29,04/06/2017,0,0,2,0,0,0,0,0
30,30,30,04/06/2017,0,0,1,0,0,0,0,0
31,31,31,04/06/2017,0,1,0,0,0,0,0,0
32,32,32,10/06/2017,0,1,0,0,0,0,0,0
33,33,33,11/06/2017,0,0,1,0,0,0,0,0
34,34,34,12/06/2017,0,1,0,0,0,0,0,0
35,35,35,12/06/2017,0,1,0,0,0,0,0,0
36,36,36,12/06/2017,0,-1,0,0,0,0,0,0
37,37,37,15/06/2017,1,0,0,0,0,0,0,0
38,38,38,17/06/2017,0,1,0,0,0,0,0,0
39,39,39,17/06/2017,0,0,1,0,0,0,0,0
40,40,40,19/06/2017,0,1,0,0,0,0,0,0
41,41,41,19/06/2017,1,0,0,0,0,0,0,0
42,42,42,19/06/2017,0,1,0,0,0,0,0,0
43,43,43,20/06/2017,2,0,0,0,0,0,0,0
44,44,44,20/06/2017,1,0,0,0,0,0,0,0
45,45,45,20/06/2017,1,0,0,0,0,0,0,0
46,46,46,20/06/2017,0,0,1,0,0,0,0,0
47,47,47,21/06/2017,1,0,0,0,0,0,0,0
48,48,48,21/06/2017,0,1,0,0,0,0,0,0
49,49,49,21/06/2017,0,-1,0,0,0,0,0,0
50,50,50,21/06/2017,1,0,0,0,0,0,0,0
51,51,51,22/06/2017,0,1,0,0,0,0,0,0
52,52,52,22/06/2017,0,-1,0,0,0,0,0,0
53,53,53,22/06/2017,1,0,0,0,0,0,0,0
54,54,54,22/06/2017,0,2,0,0,0,0,0,0
55,55,55,22/06/2017,0,1,0,0,0,0,0,0
56,56,56,22/06/2017,0,1,0,0,0,0,0,0
57,57,57,23/06/2017,1,0,0,0,0,0,0,0
58,58,58,23/06/2017,0,1,0,0,0,0,0,0
59,59,59,23/06/2017,1,0,0,0,0,0,0,0
60,60,60,24/06/2017,2,0,0,0,0,0,0,0
61,61,61,24/06/2017,1,0,0,0,0,0,0,0
62,62,62,24/06/2017,1,0,0,0,0,0,0,0
63,63,63,25/06/2017,1,0,0,0,0,0,0,0
64,64,64,25/06/2017,1,0,0,0,0,0,0,0
65,65,65,25/06/2017,0,1,0,0,0,0,0,0
66,66,66,25/06/2017,0,1,0,0,0,0,0,0
67,67,67,25/06/2017,1,0,0,0,0,0,0,0
68,68,68,30/06/2017,1,0,0,0,0,0,0,0
69,69,69,01/07/2017,0,1,0,0,0,0,0,0
70,70,70,01/07/2017,0,-1,0,0,0,0,0,0
71,71,71,02/07/2017,0,-1,0,0,0,0,0,0
72,72,72,02/07/2017,0,1,0,0,0,0,0,0
73,73,73,04/07/2017,0,0,1,0,0,0,0,0
74,74,74,06/07/2017,0,1,0,0,0,0,0,0
75,75,75,07/07/2017,0,0,1,0,0,0,0,0
76,76,76,07/07/2017,1,0,0,0,0,0,0,0
77,77,77,11/07/2017,1,0,0,0,0,0,0,0
78,78,78,13/07/2017,0,1,0,0,0,0,0,0
79,79,79,13/07/2017,0,1,0,0,0,0,0,0
80,80,80,14/07/2017,1,0,0,0,0,0,0,0
81,81,81,17/07/2017,0,1,0,0,0,0,0,0
82,82,82,17/07/2017,1,0,0,0,0,0,0,0
83,83,83,18/07/2017,2,0,0,0,0,0,0,0
84,84,84,18/07/2017,1,0,0,0,0,0,0,0
85,85,85,19/07/2017,1,0,0,0,0,0,0,0
86,86,86,20/07/2017,1,0,0,0,0,0,0,0
87,87,87,21/07/2017,2,0,0,0,0,0,0,0
88,88,88,21/07/2017,1,0,0,0,0,0,0,0
89,89,89,22/07/2017,1,0,0,0,0,0,0,0
90,90,90,23/07/2017,0,1,0,0,0,0,0,0
91,91,91,23/07/2017,0,1,0,0,0,0,0,0
92,92,92,23/07/2017,0,1,0,0,0,0,0,0
93,93,93,23/07/2017,1,0,0,0,0,0,0,0
94,94,94,25/07/2017,0,1,0,0,0,0,0,0
95,95,95,25/07/2017,0,1,0,0,0,0,0,0
96,96,96,25/07/2017,1,0,0,0,0,0,0,0
97,97,97,29/07/2017,0,1,0,0,0,0,0,0
98,98,98,29/07/2017,1,0,0,0,0,0,0,0
99,99,99,30/07/2017,0,1,0,0,0,0,0,0
100,100,100,30/07/2017,1,0,0,0,0,0,0,0
101,101,101,31/07/2017,1,0,0,0,0,0,0,0
102,102,102,01/08/2017,0,1,0,0,0,0,0,0
103,103,103,01/08/2017,0,1,0,0,0,0,0,0
104,104,104,01/08/2017,0,1,0,0,0,0,0,0
105,105,105,01/08/2017,0,0,1,0,0,0,0,0
106,106,106,01/08/2017,0,1,0,0,0,0,0,0
107,107,107,01/08/2017,1,0,0,0,0,0,0,0
108,108,108,01/08/2017,0,0,2,0,0,0,0,0
109,109,109,01/08/2017,0,0,1,0,0,0,0,0
110,110,110,02/08/2017,1,0,0,0,0,0,0,0
111,111,111,03/08/2017,0,0,1,0,0,0,0,0
112,112,112,03/08/2017,0,1,0,0,0,0,0,0
113,113,113,04/08/2017,1,0,0,0,0,0,0,0
114,114,114,04/08/2017,2,0,0,0,0,0,0,0
115,115,115,04/08/2017,1,0,0,0,0,0,0,0
116,116,116,04/08/2017,0,1,0,0,0,0,0,0
117,117,117,05/08/2017,1,0,0,0,0,0,0,0
118,118,118,05/08/2017,1,0,0,0,0,0,0,0
119,119,119,05/08/2017,1,0,0,0,0,0,0,0
120,120,120,05/08/2017,0,2,0,0,0,0,0,0
121,121,121,05/08/2017,1,0,0,0,0,0,0,0
122,122,122,05/08/2017,2,0,0,0,0,0,0,0
123,123,123,05/08/2017,1,0,0,0,0,0,0,0
124,124,124,07/08/2017,0,1,0,0,0,0,0,0
125,125,125,10/08/2017,0,1,0,0,0,0,0,0
126,126,126,12/08/2017,0,1,0,0,0,0,0,0
127,127,127,17/08/2017,0,1,0,0,0,0,0,0
128,128,128,17/08/2017,1,0,0,0,0,0,0,0
129,129,129,17/08/2017,1,0,0,0,0,0,0,0
130,130,130,19/08/2017,1,0,0,0,0,0,0,0
131,131,131,21/08/2017,0,2,0,0,0,0,0,0
132,132,132,21/08/2017,1,0,0,0,0,0,0,0
133,133,133,23/08/2017,0,1,0,0,0,0,0,0
134,134,134,24/08/2017,1,0,0,0,0,0,0,0
135,135,135,25/08/2017,1,0,0,0,0,0,0,0
136,136,136,25/08/2017,0,1,0,0,0,0,0,0
137,137,137,25/08/2017,1,0,0,0,0,0,0,0
138,138,138,27/08/2017,0,1,0,0,0,0,0,0
139,139,139,01/09/2017,0,1,0,0,0,0,0,0
140,140,140,01/09/2017,1,0,0,0,0,0,0,0
141,141,141,07/09/2017,0,1,0,0,0,0,0,0
142,142,142,08/09/2017,1,0,0,0,0,0,0,0
143,143,143,08/09/2017,0,1,0,0,0,0,0,0
144,144,144,08/09/2017,1,0,0,0,0,0,0,0
145,145,145,09/09/2017,1,0,0,0,0,0,0,0
146,146,146,09/09/2017,1,0,0,0,0,0,0,0
147,147,147,09/09/2017,1,0,0,0,0,0,0,0
148,148,148,13/09/2017,1,0,0,0,0,0,0,0
149,149,149,13/09/2017,0,1,0,0,0,0,0,0
150,150,150,15/09/2017,0,1,0,0,0,0,0,0
151,151,151,16/09/2017,1,0,0,0,0,0,0,0
