,Unnamed: 0,Unnamed: 0.1,Date,brand T75q,brand e250p,brand m179b,brand G30b,brand Y206o,brand N239O,brand P144q,brand j12s,brand N97e,brand M9H
0,0,0,18/04/2017,0,1,0,0,0,0,0,0,0,0
1,1,1,20/04/2017,0,1,0,0,0,0,0,0,0,0
2,2,2,21/04/2017,0,2,0,0,0,0,0,0,0,0
3,3,3,27/04/2017,0,1,0,0,0,0,0,0,0,0
4,4,4,12/05/2017,0,1,0,0,0,0,0,0,0,0
5,5,5,12/05/2017,0,1,0,0,0,0,0,0,0,0
6,6,6,13/05/2017,0,0,1,0,0,0,0,0,0,0
7,7,7,13/05/2017,0,1,0,0,0,0,0,0,0,0
8,8,8,13/05/2017,0,1,0,0,0,0,0,0,0,0
9,9,9,27/05/2017,0,1,0,0,0,0,0,0,0,0
10,10,10,31/05/2017,0,1,0,0,0,0,0,0,0,0
11,11,11,01/06/2017,0,0,1,0,0,0,0,0,0,0
12,12,12,11/06/2017,1,0,0,0,0,0,0,0,0,0
13,13,13,12/06/2017,0,1,0,0,0,0,0,0,0,0
14,14,14,13/06/2017,0,1,0,0,0,0,0,0,0,0
15,15,15,17/06/2017,0,1,0,0,0,0,0,0,0,0
16,16,16,19/06/2017,0,1,0,0,0,0,0,0,0,0
17,17,17,22/06/2017,0,1,0,0,0,0,0,0,0,0
18,18,18,24/06/2017,0,0,1,0,0,0,0,0,0,0
19,19,19,25/06/2017,2,0,0,0,0,0,0,0,0,0
20,20,20,25/06/2017,1,0,0,0,0,0,0,0,0,0
21,21,21,04/07/2017,0,0,2,0,0,0,0,0,0,0
22,22,22,04/07/2017,0,0,1,0,0,0,0,0,0,0
23,23,23,06/07/2017,0,2,0,0,0,0,0,0,0,0
24,24,24,06/07/2017,0,1,0,0,0,0,0,0,0,0
25,25,25,22/07/2017,0,1,0,0,0,0,0,0,0,0
26,26,26,22/07/2017,0,1,0,0,0,0,0,0,0,0
27,27,27,29/07/2017,0,1,0,0,0,0,0,0,0,0
28,28,28,23/08/2017,0,1,0,0,0,0,0,0,0,0
29,29,29,23/08/2017,0,1,0,0,0,0,0,0,0,0
30,30,30,28/08/2017,0,1,0,0,0,0,0,0,0,0
31,31,31,30/08/2017,0,1,0,0,0,0,0,0,0,0
32,32,32,30/08/2017,0,1,0,0,0,0,0,0,0,0
33,33,33,07/09/2017,0,1,0,0,0,0,0,0,0,0
34,34,34,07/09/2017,0,1,0,0,0,0,0,0,0,0
