,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand V209V,brand I232M,brand P144q,brand v177j,brand f230P,brand e130O,brand u124w,brand N239O,brand j12s,brand R124D,brand Y213j,brand N97e,brand h216j
0,0,0,18/04/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,12/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,25/05/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,22/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,24/06/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,04/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,04/07/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,18/08/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,21/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,25/08/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,01/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,14/09/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,23/10/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,10/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,23/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,02/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,16,16,08/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,12/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,19/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,09/01/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,20,20,09/01/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,21,21,16/01/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,02/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,10/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,12/02/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,13/02/2018,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,28/02/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,27,31/03/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,28,28,16/04/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,05/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,30,10/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,22/06/2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0
