,Unnamed: 0,Unnamed: 0.1,Date,brand J148v,PENCIL E/L,brand Z76b,brand G217u,brand O72y,brand K128P,brand z38s,brand q202Y,brand g155t,brand Y12k,brand A162z,brand l244I,brand T73v,brand c108X,brand q44b,brand y180c
0,0,0,28/11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,29/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,2,29/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,29/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,29/11/2019,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,29/11/2019,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,29/11/2019,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,29/11/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8,8,8,29/11/2019,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,29/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,10,10,30/11/2019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,30/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,12,12,30/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,13,13,30/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,14,14,30/11/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,15,30/11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,16,16,30/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,17,30/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,18,18,30/11/2019,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,30/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,20,20,30/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,21,01/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,22,03/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
23,23,23,04/12/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,07/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25,07/12/2019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,26,09/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,27,27,14/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,28,16/12/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,29,29,16/12/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,30,30,16/12/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,31,31,16/12/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,32,32,19/12/2019,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,33,19/12/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,34,19/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,35,19/12/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,21/12/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,37,37,23/12/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,38,38,23/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
39,39,39,23/12/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,40,40,28/12/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,01/01/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,42,42,01/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,43,43,01/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,44,44,01/01/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,07/01/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,46,07/01/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,47,09/01/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,48,48,10/01/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,14/01/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,50,15/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,51,51,17/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,52,52,18/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,53,53,19/01/2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
54,54,54,19/01/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,55,19/01/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,56,56,21/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,57,57,21/01/2020,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,22/01/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,59,22/01/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,60,22/01/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,61,61,22/01/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,62,62,24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,63,63,25/01/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,64,28/01/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,65,65,29/01/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,66,31/01/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,67,01/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,68,03/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,69,69,04/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,70,70,05/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
71,71,71,05/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,72,72,06/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,73,73,06/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,74,74,06/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,75,07/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,76,76,07/02/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,77,77,09/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,78,78,10/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,79,79,10/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,80,80,10/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,81,81,10/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,13/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,83,83,15/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,84,84,18/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,85,18/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,86,86,21/02/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,87,87,23/02/2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,23/02/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
