Date,Sales,Dollar to Pkr,Total Cases,Daily Cases
01/04/2017,16748,104.81,#N/A,0
02/04/2017,11340,104.81,#N/A,0
03/04/2017,5331,104.81,#N/A,0
04/04/2017,1300,104.8,#N/A,0
06/04/2017,14660,104.81,#N/A,0
07/04/2017,15095,104.82,#N/A,0
08/04/2017,3530,104.82,#N/A,0
09/04/2017,33555,104.82,#N/A,0
10/04/2017,3840,104.84,#N/A,0
11/04/2017,4890,104.705,#N/A,0
12/04/2017,3690,104.8,#N/A,0
13/04/2017,3195,104.845,#N/A,0
14/04/2017,3440,104.825,#N/A,0
16/04/2017,10730,104.825,#N/A,0
17/04/2017,2350,104.87,#N/A,0
18/04/2017,33320,104.83,#N/A,0
19/04/2017,550,104.83,#N/A,0
20/04/2017,1995,104.795,#N/A,0
21/04/2017,15070,104.8,#N/A,0
23/04/2017,6500,104.8,#N/A,0
24/04/2017,11125,104.805,#N/A,0
25/04/2017,400,104.725,#N/A,0
26/04/2017,6450,104.625,#N/A,0
27/04/2017,2590,104.75,#N/A,0
28/04/2017,1590,104.725,#N/A,0
29/04/2017,5285,104.725,#N/A,0
30/04/2017,7885,104.725,#N/A,0
01/05/2017,7420,104.7,#N/A,0
03/05/2017,4090,104.65,#N/A,0
04/05/2017,550,104.8,#N/A,0
05/05/2017,5190,104.75,#N/A,0
06/05/2017,12115,104.75,#N/A,0
07/05/2017,11160,104.75,#N/A,0
08/05/2017,7122,104.815,#N/A,0
09/05/2017,11326,104.885,#N/A,0
10/05/2017,2885,104.8,#N/A,0
11/05/2017,9750,104.7,#N/A,0
12/05/2017,11372,104.775,#N/A,0
13/05/2017,27477,104.775,#N/A,0
14/05/2017,14703,104.775,#N/A,0
15/05/2017,3680,104.8,#N/A,0
16/05/2017,4585,104.85,#N/A,0
17/05/2017,2135,104.825,#N/A,0
18/05/2017,7120,104.815,#N/A,0
19/05/2017,1500,104.795,#N/A,0
20/05/2017,4925,104.795,#N/A,0
21/05/2017,15880,104.795,#N/A,0
22/05/2017,3875,104.825,#N/A,0
23/05/2017,9450,104.835,#N/A,0
24/05/2017,6670,104.845,#N/A,0
25/05/2017,21590,104.79,#N/A,0
26/05/2017,7883,104.8,#N/A,0
27/05/2017,4041,104.8,#N/A,0
28/05/2017,2882,104.8,#N/A,0
29/05/2017,8855,104.8,#N/A,0
30/05/2017,5800,104.825,#N/A,0
31/05/2017,8092,104.81,#N/A,0
01/06/2017,4746,104.755,#N/A,0
03/06/2017,4484,104.7,#N/A,0
04/06/2017,17902,104.7,#N/A,0
05/06/2017,1050,104.74,#N/A,0
06/06/2017,1440,104.85,#N/A,0
07/06/2017,6444,104.84,#N/A,0
08/06/2017,7865,104.84,#N/A,0
09/06/2017,4196,104.8,#N/A,0
10/06/2017,6937,104.8,#N/A,0
11/06/2017,18915,104.8,#N/A,0
12/06/2017,12265,104.7,#N/A,0
13/06/2017,4420,104.815,#N/A,0
14/06/2017,6645,104.805,#N/A,0
15/06/2017,9310,104.815,#N/A,0
16/06/2017,12480,104.83,#N/A,0
17/06/2017,15140,104.775,#N/A,0
18/06/2017,3935,104.775,#N/A,0
19/06/2017,11830,104.815,#N/A,0
20/06/2017,13885,104.85,#N/A,0
21/06/2017,28855,104.825,#N/A,0
22/06/2017,32831,104.805,#N/A,0
23/06/2017,35351,104.845,#N/A,0
24/06/2017,50260,104.845,#N/A,0
25/06/2017,54660,104.845,#N/A,0
26/06/2017,7380,104.84,#N/A,0
28/06/2017,8710,104.85,#N/A,0
29/06/2017,9130,104.86,#N/A,0
30/06/2017,5285,104.86,#N/A,0
01/07/2017,1765,104.86,#N/A,0
02/07/2017,4845,104.86,#N/A,0
03/07/2017,5890,104.86,#N/A,0
04/07/2017,24812,104.825,#N/A,0
05/07/2017,14650,108.05,#N/A,0
06/07/2017,5540,105.95,#N/A,0
07/07/2017,28525,105.85,#N/A,0
08/07/2017,1880,105.85,#N/A,0
09/07/2017,11260,105.85,#N/A,0
10/07/2017,2551,105.16,#N/A,0
11/07/2017,14580,105.19,#N/A,0
12/07/2017,23345,105.11,#N/A,0
13/07/2017,20690,105.2,#N/A,0
14/07/2017,14395,105.22,#N/A,0
15/07/2017,4990,105.22,#N/A,0
16/07/2017,14015,105.22,#N/A,0
17/07/2017,10240,105.205,#N/A,0
18/07/2017,5665,105.25,#N/A,0
19/07/2017,24570,105.205,#N/A,0
20/07/2017,13175,105.28,#N/A,0
21/07/2017,18700,105.205,#N/A,0
22/07/2017,13125,105.205,#N/A,0
23/07/2017,8830,105.205,#N/A,0
24/07/2017,4725,105.31,#N/A,0
25/07/2017,31115,105.27,#N/A,0
26/07/2017,7950,105.325,#N/A,0
27/07/2017,580,105.34,#N/A,0
28/07/2017,1995,105.355,#N/A,0
29/07/2017,10915,105.355,#N/A,0
30/07/2017,2940,105.355,#N/A,0
31/07/2017,6230,105.4,#N/A,0
01/08/2017,25755,105.335,#N/A,0
02/08/2017,11285,105.36,#N/A,0
03/08/2017,19950,105.33,#N/A,0
04/08/2017,14095,105.33,#N/A,0
05/08/2017,24750,105.33,#N/A,0
06/08/2017,9165,105.36,#N/A,0
07/08/2017,9365,105.32,#N/A,0
08/08/2017,6965,105.25,#N/A,0
09/08/2017,16311,105.36,#N/A,0
10/08/2017,23100,105.205,#N/A,0
11/08/2017,5140,105.205,#N/A,0
12/08/2017,30380,105.205,#N/A,0
13/08/2017,9690,105.205,#N/A,0
14/08/2017,3340,105.33,#N/A,0
15/08/2017,7945,105.375,#N/A,0
16/08/2017,7760,105.33,#N/A,0
17/08/2017,15940,105.34,#N/A,0
18/08/2017,16010,105.35,#N/A,0
19/08/2017,18680,105.35,#N/A,0
20/08/2017,14330,105.35,#N/A,0
21/08/2017,15775,105.33,#N/A,0
22/08/2017,7690,105.345,#N/A,0
23/08/2017,6795,105.355,#N/A,0
24/08/2017,26157,105.375,#N/A,0
25/08/2017,24010,105.375,#N/A,0
26/08/2017,18728,105.375,#N/A,0
27/08/2017,16230,105.375,#N/A,0
28/08/2017,5960,105.36,#N/A,0
29/08/2017,13355,105.155,#N/A,0
30/08/2017,24425,105.215,#N/A,0
31/08/2017,17235,105.23,#N/A,0
01/09/2017,36960,105.1,#N/A,0
02/09/2017,1300,105.1,#N/A,0
04/09/2017,22446,105.1,#N/A,0
05/09/2017,7175,105.335,#N/A,0
06/09/2017,26495,105.34,#N/A,0
07/09/2017,44655,105.35,#N/A,0
08/09/2017,11310,105.31,#N/A,0
09/09/2017,22130,105.31,#N/A,0
10/09/2017,16790,105.31,#N/A,0
11/09/2017,25195,105.33,#N/A,0
12/09/2017,19090,105.335,#N/A,0
13/09/2017,9575,105.2,#N/A,0
14/09/2017,18680,105.295,#N/A,0
15/09/2017,8450,105.35,#N/A,0
16/09/2017,14980,105.35,#N/A,0
17/09/2017,2725,105.35,#N/A,0
18/09/2017,15690,105.325,#N/A,0
19/09/2017,14930,105.35,#N/A,0
20/09/2017,15805,105.375,#N/A,0
21/09/2017,5515,105.375,#N/A,0
22/09/2017,6750,105.385,#N/A,0
23/09/2017,12480,105.385,#N/A,0
24/09/2017,18830,105.385,#N/A,0
25/09/2017,8875,105.345,#N/A,0
26/09/2017,6665,105.375,#N/A,0
27/09/2017,7060,105.425,#N/A,0
28/09/2017,1150,105.4,#N/A,0
29/09/2017,20616,105.41,#N/A,0
02/10/2017,4390,105.3,#N/A,0
03/10/2017,20770,105.375,#N/A,0
04/10/2017,6095,105.405,#N/A,0
05/10/2017,22430,105.25,#N/A,0
06/10/2017,8450,105.255,#N/A,0
07/10/2017,7985,105.255,#N/A,0
08/10/2017,3810,105.255,#N/A,0
09/10/2017,10335,105.255,#N/A,0
10/10/2017,11793,105.33,#N/A,0
11/10/2017,16790,105.075,#N/A,0
12/10/2017,10600,104.9,#N/A,0
13/10/2017,4765,105.25,#N/A,0
14/10/2017,6485,105.25,#N/A,0
15/10/2017,32925,105.25,#N/A,0
16/10/2017,11125,105.125,#N/A,0
17/10/2017,3610,105.305,#N/A,0
18/10/2017,16280,105.25,#N/A,0
19/10/2017,15280,105.2,#N/A,0
20/10/2017,6080,105.35,#N/A,0
21/10/2017,5105,105.35,#N/A,0
22/10/2017,20530,105.35,#N/A,0
23/10/2017,22340,105.3,#N/A,0
24/10/2017,6090,105.375,#N/A,0
25/10/2017,24730,105.305,#N/A,0
26/10/2017,23895,105.355,#N/A,0
27/10/2017,25965,105.35,#N/A,0
28/10/2017,21535,105.35,#N/A,0
29/10/2017,28220,105.35,#N/A,0
30/10/2017,19400,105.315,#N/A,0
31/10/2017,2850,105.375,#N/A,0
01/11/2017,6030,105.2,#N/A,0
02/11/2017,21065,105.255,#N/A,0
03/11/2017,17545,105.28,#N/A,0
04/11/2017,42640,105.28,#N/A,0
05/11/2017,10032,105.28,#N/A,0
06/11/2017,1640,105.3,#N/A,0
07/11/2017,10870,105.25,#N/A,0
08/11/2017,7425,105.2,#N/A,0
09/11/2017,7800,105.05,#N/A,0
10/11/2017,24678,104.95,#N/A,0
11/11/2017,12386,104.95,#N/A,0
12/11/2017,22682,104.95,#N/A,0
14/11/2017,9225,105.25,#N/A,0
15/11/2017,20094,105.305,#N/A,0
16/11/2017,21462,105.305,#N/A,0
17/11/2017,21332,105.315,#N/A,0
18/11/2017,24333,105.315,#N/A,0
19/11/2017,36257,105.315,#N/A,0
