Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
BRA,ZINNIA,100001,ESSENTIALS,PCS,"1,990.00","1,990.00"
BRA,ORCHID WW,100002,ESSENTIALS,PCS,"1,150.00","1,150.00"
BRA,ELBRINA,100003,ESSENTIALS,PCS,"1,590.00","1,590.00"
BRA,FANTASY,100004,ESSENTIALS,PCS,"2,590.00","2,590.00"
BRA,CHERRY,100005,ESSENTIALS,PCS,"2,390.00","2,390.00"
BRA,OPAL,100006,ESSENTIALS,PCS,895.00,895.00
BRA,LAUREL,100007,ESSENTIALS,PCS,"2,190.00","2,190.00"
BRA,AN3698,100008,ANIL,PCS,"2,490.00","2,490.00"
BRA,AN3697,100009,ANIL,PCS,"2,790.00","2,790.00"
BRA,AN3229,100010,ANIL,PCS,"2,240.00","2,240.00"
BRA,ORCHID,100159,ESSENTIALS,PCS,"2,190.00","2,190.00"
BRA,AN3125,100160,ANIL,PCS,"2,190.00","2,190.00"
BRA,AN3592-7,100161,ANIL,PCS,"2,190.00","2,190.00"
BRA,AN3634,100163,ANIL,PCS,"2,790.00","2,790.00"
BRA,AN3607,100164,ANIL,PCS,"2,090.00","2,090.00"
BRA,AN3635,100165,ANIL,PCS,"2,790.00","2,790.00"
BRA,YI1250,100167,YENI INCI,PCS,"2,150.00","2,150.00"
BRA,YI1250BIG,100168,YENI INCI,PCS,"2,350.00","2,350.00"
BRA,YI1915,100169,YENI INCI,PCS,"2,990.00","2,990.00"
BRA,YI1915BIG,100170,YENI INCI,PCS,"2,350.00","2,350.00"
BRA,YI1905,100171,YENI INCI,PCS,"2,190.00","2,190.00"
BRA,YI1005,100172,YENI INCI,PCS,"2,290.00","2,290.00"
BRA,NBB352073,100173,NBB,PCS,"1,990.00","1,990.00"
BRA,NBB351082,100174,NBB,PCS,"1,490.00","1,490.00"
BRA,NBB1180,100176,NBB,PCS,595.00,595.00
BRA,SH1928,100179,NON BR,PCS,695.00,695.00
BRA,SH9332,100180,NON BR,PCS,750.00,750.00
BRA,SH2085,100181,NON BR,PCS,750.00,750.00
BRA,SH1981,100182,NON BR,PCS,795.00,795.00
BRA,SH6328,100183,NON BR,PCS,750.00,750.00
BRA,BN937,100184,NON BR,PCS,795.00,795.00
BRA,BN2217,100185,NON BR,PCS,650.00,650.00
BRA,BN909,100186,NON BR,PCS,795.00,795.00
BRA,BN8056,100187,NON BR,PCS,750.00,750.00
BRA,BN0512,100188,NON BR,PCS,750.00,750.00
BRA,BN806,100189,NON BR,PCS,750.00,750.00
BRA,BN8828,100190,NON BR,PCS,690.00,690.00
BRA,SBI753,100192,SABINA,PCS,"2,345.00","2,345.00"
BRA,SBI2000,100193,SABINA,PCS,"3,590.00","3,590.00"
BRA,SBH5001,100194,SABINA,PCS,"2,240.00","2,240.00"
BRA,SBI799,100195,SABINA,PCS,"2,625.00","2,625.00"
BRA,SBI805,100196,SABINA,PCS,"3,485.00","3,485.00"
BRA,SBP891,100197,SABINA,PCS,"2,065.00","2,065.00"
BRA,SBB578,100198,SABINA,PCS,"1,715.00","1,715.00"
