Customer Date,Inv. #,Design Number,Quantity,Rate,Amount,Dis (%),Discount Amount,Amount after Discount
01/04/2017,1,BJ61305,1,"2,900","2,900",10.00,290,"2,610"
01/04/2017,1,BOTANIC,1,425,425,100.00,425,0
01/04/2017,2,SBC347,1,"1,230","1,230",10.00,123,"1,107"
01/04/2017,3,LL8920,2,700,"1,400",20.00,280,"1,120"
01/04/2017,3,HP85,1,995,995,25.00,249,746
01/04/2017,3,YI1250,2,"2,150","4,300",25.00,"1,075","3,225"
01/04/2017,4,BN2217,1,650,650,10.00,65,585
01/04/2017,5,BN806,1,750,750,10.00,75,675
01/04/2017,6,YI1005,1,"1,650","1,650",0.00,0,"1,650"
01/04/2017,6,BOTANICE,1,90,90,100.00,90,0
01/04/2017,7,SH907,1,400,400,0.00,0,400
01/04/2017,7,BOTANIC,1,425,425,100.00,425,0
01/04/2017,7,TAAG001,1,400,400,100.00,400,0
01/04/2017,7,AN3698,1,"1,690","1,690",0.00,0,"1,690"
01/04/2017,7,ZINNIA,1,"1,190","1,190",0.00,0,"1,190"
01/04/2017,7,CHERRY,1,"1,750","1,750",0.00,0,"1,750"
02/04/2017,10,RUBY-B532,1,630,630,0.00,0,630
02/04/2017,11,KK155,1,"1,290","1,290",0.00,0,"1,290"
02/04/2017,11,MF33636,1,"1,350","1,350",0.00,0,"1,350"
02/04/2017,11,TAAG001,1,400,400,100.00,400,0
02/04/2017,12,NBB352073,1,990,990,0.00,0,990
02/04/2017,12,BOTANICE,1,90,90,100.00,90,0
02/04/2017,13,LL8920,1,700,700,0.00,0,700
02/04/2017,13,SH3147,1,300,300,0.00,0,300
02/04/2017,13,BOTANICE,1,90,90,100.00,90,0
02/04/2017,14,YI1005,1,"1,650","1,650",0.00,0,"1,650"
02/04/2017,14,BOTANICE,1,90,90,100.00,90,0
02/04/2017,15,YI1005,1,"1,650","1,650",0.00,0,"1,650"
02/04/2017,15,BOTANICE,1,90,90,100.00,90,0
02/04/2017,16,CITIN,1,550,550,0.00,0,550
02/04/2017,21,BOTANICE,1,90,90,100.00,90,0
02/04/2017,21,BN2217,1,650,650,0.00,0,650
02/04/2017,21,CH0203,1,400,400,0.00,0,400
02/04/2017,8,CITIN,1,550,550,0.00,0,550
02/04/2017,9,RUBY-B532,1,630,630,0.00,0,630
03/04/2017,17,MF34314,1,"1,590","1,590",10.00,159,"1,431"
03/04/2017,18,YI1005,1,"1,650","1,650",0.00,0,"1,650"
03/04/2017,18,BOTANICE,1,90,90,100.00,90,0
03/04/2017,19,VG1401,1,950,950,0.00,0,950
03/04/2017,19,AN2657-2.6,1,750,750,0.00,0,750
03/04/2017,19,BOTANICE,1,90,90,100.00,90,0
03/04/2017,20,CITIN,1,550,550,0.00,0,550
04/04/2017,22,CITIN,1,550,550,0.00,0,550
04/04/2017,23,BN806,1,750,750,0.00,0,750
06/04/2017,24,NKVS135,1,"1,995","1,995",0.00,0,"1,995"
06/04/2017,24,KK153PU,2,"1,390","2,780",0.00,0,"2,780"
06/04/2017,24,BOTANIC,1,425,425,100.00,425,0
06/04/2017,24,BOTANICE,1,90,90,100.00,90,0
06/04/2017,25,BO3315,1,"3,590","3,590",0.00,0,"3,590"
06/04/2017,25,NK2113,1,"1,995","1,995",0.00,0,"1,995"
06/04/2017,25,BOTANIC,1,425,425,100.00,425,0
06/04/2017,25,BOTANICE,1,90,90,100.00,90,0
06/04/2017,26,YI1250,2,"2,150","4,300",0.00,0,"4,300"
06/04/2017,26,BOTANICE,1,90,90,100.00,90,0
06/04/2017,26,BOTANIC,1,425,425,100.00,425,0
07/04/2017,27,NBB351082,3,950,"2,850",0.00,0,"2,850"
07/04/2017,27,LL8920,1,700,700,0.00,0,700
07/04/2017,27,BOTANIC,1,425,425,100.00,425,0
07/04/2017,28,NBB351082,1,950,950,0.00,0,950
07/04/2017,28,YI1905,1,"1,590","1,590",0.00,0,"1,590"
07/04/2017,28,CITIN,1,550,550,0.00,0,550
07/04/2017,28,BOTANIC,1,425,425,100.00,425,0
07/04/2017,29,AN3698,1,"1,690","1,690",0.00,0,"1,690"
07/04/2017,29,AN3229,1,"1,490","1,490",0.00,0,"1,490"
07/04/2017,29,BOTANIC,1,425,425,100.00,425,0
07/04/2017,30,BN806,1,750,750,0.00,0,750
07/04/2017,68,T-118,2,840,"1,680",0.00,0,"1,680"
07/04/2017,68,SH7400,2,700,"1,400",0.00,0,"1,400"
07/04/2017,68,LL8920,1,700,700,0.00,0,700
07/04/2017,68,CITINLUXURY,1,745,745,0.00,0,745
07/04/2017,68,BOTANIC,1,425,425,100.00,425,0
08/04/2017,31,KK155,1,"1,290","1,290",0.00,0,"1,290"
08/04/2017,31,BOTANICE,1,90,90,100.00,90,0
08/04/2017,32,SH01-B,1,150,150,0.00,0,150
08/04/2017,33,SH01-B,-1,150,-150,0.00,0,-150
08/04/2017,69,MAXYI1584,1,"1,690","1,690",0.00,0,"1,690"
08/04/2017,69,BOTANICE,1,90,90,100.00,90,0
08/04/2017,72,WG001,1,550,550,0.00,0,550
09/04/2017,34,SH01-B,1,150,150,0.00,0,150
09/04/2017,35,CITIN,2,550,"1,100",0.00,0,"1,100"
09/04/2017,36,CITIN,2,550,"1,100",0.00,0,"1,100"
09/04/2017,37,CITIN,1,550,550,0.00,0,550
09/04/2017,38,KK153PU,1,"1,390","1,390",0.00,0,"1,390"
09/04/2017,38,SH01-B,1,150,150,0.00,0,150
09/04/2017,38,SH872,1,795,795,0.00,0,795
09/04/2017,38,TAAG001,1,400,400,100.00,400,0
09/04/2017,39,SBD6010,1,"2,670","2,670",0.00,0,"2,670"
09/04/2017,39,NK0043,1,"4,995","4,995",0.00,0,"4,995"
09/04/2017,39,AN2513,1,"4,890","4,890",0.00,0,"4,890"
09/04/2017,39,FACEWASH,1,550,550,100.00,550,0
09/04/2017,39,GOLD,1,"1,150","1,150",100.00,"1,150",0
09/04/2017,40,CITIN,1,550,550,0.00,0,550
09/04/2017,41,SHB077,1,650,650,0.00,0,650
09/04/2017,41,SH7400,1,700,700,0.00,0,700
09/04/2017,41,SH3154,2,300,600,0.00,0,600
09/04/2017,41,BN698,1,350,350,0.00,0,350
09/04/2017,41,TAAG001,1,400,400,100.00,400,0
09/04/2017,44,XBO036,1,"1,925","1,925",0.00,0,"1,925"
09/04/2017,44,TAAG001,1,400,400,100.00,400,0
09/04/2017,45,SH82756-B,2,795,"1,590",0.00,0,"1,590"
09/04/2017,45,AN2659,1,975,975,0.00,0,975
09/04/2017,45,PC917,1,"4,290","4,290",0.00,0,"4,290"
09/04/2017,45,SH7400,1,700,700,0.00,0,700
09/04/2017,45,GOLD,1,"1,150","1,150",100.00,"1,150",0
09/04/2017,46,SBC303,2,"1,230","2,460",0.00,0,"2,460"
09/04/2017,46,AN2659,1,975,975,0.00,0,975
09/04/2017,46,BOTANIC,1,425,425,100.00,425,0
10/04/2017,47,CITIN,2,550,"1,100",0.00,0,"1,100"
10/04/2017,48,AN3229,1,"1,490","1,490",0.00,0,"1,490"
10/04/2017,48,BOTANICE,1,90,90,100.00,90,0
10/04/2017,73,WG001,1,550,550,0.00,0,550
10/04/2017,73,LL8920,1,700,700,0.00,0,700
11/04/2017,42,XBO036,1,"1,925","1,925",0.00,0,"1,925"
11/04/2017,42,TAAG001,1,400,400,100.00,400,0
11/04/2017,43,XBO036,-1,"1,925","-1,925",0.00,0,"-1,925"
11/04/2017,43,TAAG001,-1,400,-400,100.00,-400,0
11/04/2017,49,AN2513,1,"4,890","4,890",0.00,0,"4,890"
11/04/2017,49,BOTANIC,1,425,425,100.00,425,0
12/04/2017,50,LL38694,1,400,400,0.00,0,400
12/04/2017,51,YI1905,1,"1,590","1,590",0.00,0,"1,590"
12/04/2017,51,CITIN,1,550,550,0.00,0,550
12/04/2017,51,BOTANICE,1,90,90,100.00,90,0
12/04/2017,52,ORCHID,1,"1,150","1,150",0.00,0,"1,150"
