Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
ACCESSORIES,BOTANIC/E,PENCIL,100012,72,54,126,0
ACCESSORIES,TAAG,BODY SPRAY,100013,24,0,24,0
ACCESSORIES,BOTANIC/LS,LIPSTICK,100014,48,30,78,0
ACCESSORIES,JOHNSAN,FACEWASH,100015,6,0,6,0
ACCESSORIES,NEUTROGENA,FACEWASH,100016,6,0,6,0
ACCESSORIES,BOTANIC,LIPSTICK,100244,0,148,148,0
ACCESSORIES,BOTANICE,BOTANICE,100245,0,362,362,0
ACCESSORIES,TAAG001,BODY SPARY,100246,0,21,21,0
ACCESSORIES,FACEWASH,FACEWASH,100247,0,13,13,0
ACCESSORIES,BOTANIC/NP,NAIL POLISH,100353,0,322,322,0
ACCESSORIES,LOREAL.L,ACCESSORIES,100354,0,13,13,0
ACCESSORIES,BOTANIC/FW,FACE WASH,100355,0,14,14,0
ACCESSORIES,BOTANIC.ESK,EYE SHADE KID,100498,0,3,3,0
ACCESSORIES,MAYBELLINE.L,LIPSTICK,100499,0,21,21,0
ACCESSORIES,B-POWDER13,BRONZER POWDER,100748,0,12,12,0
ACCESSORIES,ESHADOW-SB,EYE SHADOW STARS BAKED,100749,0,16,16,0
BATH GOWNS,SUP13003,SUDE,101165,0,8,8,0
BATHGOWN,HP001,HAPPY,100158,6,1,7,0
BATHGOWN,H100,BATH GOWN,100982,0,4,4,0
BATHGOWN,NK52940511,NON B,101310,0,3,3,0
BED SHEET (3 PCS),T-CKV51,TAC,100316,0,2,2,0
BED SHEET (3 PCS),FJ145,NON BR,100317,0,2,2,0
BED SHEET (4 PCS),HALAZA,NON BR,100318,0,1,1,0
BED SHEET (7 PCS),Z-INCIFR,ZEBRA CASA,100315,0,1,1,0
BOTANICS MAKEUP,BP043,PRIMER,100963,0,3,1,2
BOTANICS MAKEUP,BELP04,PENCIL E/L,100964,0,144,129,15
BOTANICS MAKEUP,BLS061,LIP STICK,100965,0,86,55,31
BOTANICS MAKEUP,BM061,MASCARA,100966,0,12,12,0
BOTANICS MAKEUP,BML061,MATT LINER,100967,0,6,6,0
BOTANICS MAKEUP,BLM041,MARKER LINER,100968,0,6,6,0
BOTANICS MAKEUP,BLG061,LIP GLOSS,100969,0,30,27,3
BOTANICS MAKEUP,BAG023,ALOEVERA GEL,100970,0,3,3,0
BOTANICS MAKEUP,BMB002,MATT BLUSH,100971,0,35,20,15
BOTANICS MAKEUP,BFP003,FACE POWDER,100972,0,18,15,3
BOTANICS MAKEUP,BF573,FOUNDATION,100973,0,28,20,8
BOTANICS MAKEUP,BES003,EYESHADE KIT 26,100974,0,5,3,2
BOTANICS MAKEUP,BES009,EYESHADE KIT 4848,100975,0,5,3,2
BOTANICS MAKEUP,B081,B B CREAM BOB,100976,0,4,4,0
BOTANICS MAKEUP,EB091,B B CREAM EVERBEAUTY,100977,0,2,2,0
BOTANICS MAKEUP,BNP011,NAIL PAINT,101074,0,203,161,42
BOTANICS MAKEUP,BNP0055,NAIL PAINT,101305,0,84,59,25
BOXER [SCS],L1001,NON B,100913,0,18,18,0
BRA,ZINNIA,ESSENTIALS,100001,24,89,98,15
BRA,ORCHID,WW ESSENTIALS,100002,36,0,10,26
BRA,ELBRINA,ESSENTIALS,100003,18,26,26,18
BRA,FANTASY,ESSENTIALS,100004,35,259,280,14
BRA,CHERRY,ESSENTIALS,100005,6,12,18,0
BRA,OPAL,ESSENTIALS,100006,12,9,21,0
BRA,LAUREL,ESSENTIALS,100007,24,52,50,26
BRA,AN3698,ANIL,100008,48,206,197,57
BRA,AN3697,ANIL,100009,30,76,100,6
BRA,AN3229,ANIL,100010,48,120,149,19
BRA,ORCHID,ESSENTIALS,100159,0,210,194,16
BRA,AN3125,ANIL,100160,60,123,147,36
BRA,AN3592-7,ANIL,100161,73,62,105,30
BRA,AN3633,ANIL,100162,18,5,14,9
BRA,AN3634,ANIL,100163,12,18,24,6
BRA,AN3607,ANIL,100164,48,41,69,20
BRA,AN3635,ANIL,100165,24,18,42,0
BRA,YI1250,YENI INCI,100167,100,14,114,0
BRA,YI1250BIG,YENI INCI,100168,6,0,6,0
BRA,YI1915,YENI INCI,100169,129,175,242,62
BRA,YI1915BIG,YENI INCI,100170,6,0,6,0
BRA,YI1905,YENI INCI,100171,69,297,281,85
BRA,YI1005,YENI INCI,100172,102,369,371,100
BRA,NBB352073,NBB,100173,33,86,102,17
