Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
ACCESSORIES,BOTANIC/E,PENCIL,100012,126,98.33,"12,390",100,"12,600",-210
ACCESSORIES,TAAG,BODY SPRAY,100013,24,0,0,0,0,0
ACCESSORIES,BOTANIC/LS,LIPSTICK,100014,78,400,"31,200",400,"31,200",0
ACCESSORIES,JOHNSAN,FACEWASH,100015,6,0,0,0,0,0
ACCESSORIES,NEUTROGENA,FACEWASH,100016,6,0,0,0,0,0
ACCESSORIES,BOTANIC,LIPSTICK,100244,148,425,"62,900",0,0,"62,900"
ACCESSORIES,BOTANICE,BOTANICE,100245,362,90,"32,580",0,0,"32,580"
ACCESSORIES,TAAG001,BODY SPARY,100246,21,400,"8,400",0,0,"8,400"
ACCESSORIES,FACEWASH,FACEWASH,100247,13,550,"7,150",0,0,"7,150"
ACCESSORIES,BOTANIC/NP,NAIL POLISH,100353,322,200,"64,400",200,"64,400",0
ACCESSORIES,LOREAL.L,ACCESSORIES,100354,13,"1,542.31","20,050","1,600.00","20,800",-750
ACCESSORIES,BOTANIC/FW,FACE WASH,100355,14,550,"7,700",550,"7,700",0
ACCESSORIES,BOTANIC.ESK,EYE SHADE KID,100498,3,"2,000.00","6,000","2,000.00","6,000",0
ACCESSORIES,MAYBELLINE.L,LIPSTICK,100499,21,"1,200.00","25,200","1,200.00","25,200",0
ACCESSORIES,B-POWDER13,BRONZER POWDER,100748,12,"1,650.00","19,800","1,650.00","19,800",0
ACCESSORIES,ESHADOW-SB,EYE SHADOW STARS,100749,16,"1,450.00","23,200","1,450.00","23,200",0
BATH GOWNS,SUP13003,SUDE,101165,8,"2,990.00","23,920","2,990.00","23,920",0
BATHGOWN,HP001,HAPPY,100158,7,"1,190.00","8,330","1,190.00","8,330",0
BATHGOWN,H100,BATH GOWN,100982,4,"1,390.00","5,560","1,390.00","5,560",0
BED SHEET (3 PCS),T-CKV51,TAC,100316,2,"12,900.00","25,800","12,900.00","25,800",0
BED SHEET (3 PCS),FJ145,NON BR,100317,2,"13,950.00","27,900","13,950.00","27,900",0
BED SHEET (4 PCS),HALAZA,NON BR,100318,1,"16,900.00","16,900","16,900.00","16,900",0
BED SHEET (7 PCS),Z-INCIFR,ZEBRA CASA,100315,1,"45,950.00","45,950","45,950.00","45,950",0
BOTANICS MAKEUP,BP043,PRIMER,100963,1,950,950,950,950,0
BOTANICS MAKEUP,BELP04,PENCIL E/L,100964,127,133.23,"16,920",150,"19,050","-2,130"
