Date,Price,Open,High,Low,Change %
"Dec 01, 2021",174.98,176.1,176.1,174.8,-0.42%
"Nov 30, 2021",175.72,176.5,176.575,174.6,-0.16%
"Nov 29, 2021",176,176.15,176.66,175.1,0.40%
"Nov 26, 2021",175.3,175.555,176.735,174.5,0.11%
"Nov 25, 2021",175.11,175.65,175.65,174.6,-0.11%
"Nov 24, 2021",175.3,175.275,175.66,174.05,0.43%
"Nov 23, 2021",174.55,175.25,175.285,173.45,0.03%
"Nov 22, 2021",174.5,174.85,175.46,171.3,-0.13%
"Nov 19, 2021",174.73,175.2,175.45,173.08,0.19%
"Nov 18, 2021",174.4,175.125,175.21,173.25,0.09%
"Nov 17, 2021",174.25,173.75,175.385,173,0.00%
"Nov 16, 2021",174.25,175.1,175.55,173.55,0.03%
"Nov 15, 2021",174.2,175.625,175.75,173.75,-0.60%
"Nov 12, 2021",175.25,173.75,175.775,172.775,1.01%
"Nov 11, 2021",173.5,172.45,174.15,172.45,0.73%
"Nov 10, 2021",172.25,171.25,173,171.25,0.77%
"Nov 09, 2021",170.93,170.25,171.95,170.25,0.67%
"Nov 08, 2021",169.8,169.78,170.675,169.74,0.12%
"Nov 05, 2021",169.6,170.075,170.18,169.45,0.01%
"Nov 04, 2021",169.58,169.7,170.6,169.4,0.02%
"Nov 03, 2021",169.54,170.15,170.445,169.19,-0.20%
"Nov 02, 2021",169.88,170.95,171.93,169.7,-0.79%
"Nov 01, 2021",171.24,171.4,172.045,170.45,-0.18%
"Oct 30, 2021",171.55,171.7,171.7,171.7,0.69%
"Oct 29, 2021",170.38,171.95,172.185,170.865,-0.80%
"Oct 28, 2021",171.75,173.225,173.235,171.4,-1.15%
"Oct 27, 2021",173.75,175.3,175.525,172.45,-0.49%
"Oct 26, 2021",174.6,174.65,175.535,174.2,0.17%
"Oct 25, 2021",174.3,173.78,174.66,173.5,0.20%
"Oct 22, 2021",173.95,173.6,174.56,173.2,0.43%
"Oct 21, 2021",173.2,173.6,174.075,172.4,0.00%
"Oct 20, 2021",173.2,172.625,173.67,172.35,0.55%
"Oct 19, 2021",172.25,172.5,172.655,172.29,0.15%
"Oct 18, 2021",172,170.5,173.15,170.5,0.58%
"Oct 15, 2021",171,171.25,171.315,170.35,0.00%
"Oct 14, 2021",171,171.125,171.325,170.5,0.15%
"Oct 13, 2021",170.75,171.25,171.35,170.35,-0.15%
"Oct 12, 2021",171,171.075,171.325,170.075,0.21%
"Oct 11, 2021",170.65,170.875,171.075,169.95,0.23%
"Oct 08, 2021",170.25,170.875,171.09,169.7,0.00%
"Oct 07, 2021",170.25,171.125,171.19,169.95,-0.29%
"Oct 06, 2021",170.75,171,171.215,170.29,0.15%
"Oct 05, 2021",170.5,171,171.05,170.3,0.06%
"Oct 04, 2021",170.4,170.625,171.065,170.075,0.38%
"Oct 01, 2021",169.75,171,171.015,169.65,-0.44%
"Sep 30, 2021",170.5,170.875,171.065,169.75,0.15%
"Sep 29, 2021",170.25,170.3,171.005,169.565,0.38%
"Sep 28, 2021",169.6,169.7,170.465,169.3,0.12%
"Sep 27, 2021",169.4,169.45,169.845,168.725,0.30%
"Sep 24, 2021",168.9,169.4,169.54,168.69,0.06%
"Sep 23, 2021",168.8,169.125,169.455,168.19,0.33%
"Sep 22, 2021",168.25,169.15,169.28,167.9,-0.03%
"Sep 21, 2021",168.3,169.25,169.25,168.14,-0.12%
"Sep 20, 2021",168.5,168.15,169.34,167.675,0.62%
"Sep 17, 2021",167.46,168.15,168.215,167.2,-0.02%
"Sep 16, 2021",167.5,169.625,169.625,166.8,-1.03%
"Sep 15, 2021",169.25,168.2,169.69,168.2,0.80%
"Sep 14, 2021",167.9,168.2,168.95,167.905,0.00%
"Sep 13, 2021",167.9,167.73,168.315,167.45,0.00%
"Sep 11, 2021",167.9,168.025,168.025,168.025,0.00%
"Sep 10, 2021",167.9,168,168.215,167.115,0.24%
"Sep 09, 2021",167.5,167.75,168.015,166.75,0.30%
"Sep 08, 2021",167,168,168.04,166.55,-0.30%
"Sep 07, 2021",167.5,167.1,168.055,166.895,0.48%
"Sep 06, 2021",166.7,166.85,167.25,165.625,0.12%
"Sep 03, 2021",166.5,167.26,167.26,166.4,-0.31%
"Sep 02, 2021",167.02,167,167.315,166.125,0.31%
"Sep 01, 2021",166.5,166.875,167.155,166.25,0.15%
"Aug 31, 2021",166.25,165.8,166.89,165.525,0.79%
"Aug 30, 2021",164.94,166.6,166.7,165.18,-0.46%
"Aug 27, 2021",165.7,166.75,166.75,165.5,-0.18%
"Aug 26, 2021",166,165.875,166.865,165.275,0.15%
"Aug 25, 2021",165.75,165.375,166.325,164.85,0.61%
