Date,Rate
01/12/2021,174.98
30/11/2021,175.72
29/11/2021,176
26/11/2021,175.3
25/11/2021,175.11
24/11/2021,175.3
23/11/2021,174.55
22/11/2021,174.5
19/11/2021,174.73
18/11/2021,174.4
17/11/2021,174.25
16/11/2021,174.25
15/11/2021,174.2
12/11/2021,175.25
11/11/2021,173.5
10/11/2021,172.25
09/11/2021,170.93
08/11/2021,169.8
05/11/2021,169.6
04/11/2021,169.58
03/11/2021,169.54
02/11/2021,169.88
01/11/2021,171.24
30/10/2021,171.55
29/10/2021,170.38
28/10/2021,171.75
27/10/2021,173.75
26/10/2021,174.6
25/10/2021,174.3
22/10/2021,173.95
21/10/2021,173.2
20/10/2021,173.2
19/10/2021,172.25
18/10/2021,172
15/10/2021,171
14/10/2021,171
13/10/2021,170.75
12/10/2021,171
11/10/2021,170.65
08/10/2021,170.25
07/10/2021,170.25
06/10/2021,170.75
05/10/2021,170.5
04/10/2021,170.4
01/10/2021,169.75
30/9/2021,170.5
29/9/2021,170.25
28/9/2021,169.6
27/9/2021,169.4
24/9/2021,168.9
23/9/2021,168.8
22/9/2021,168.25
21/9/2021,168.3
20/9/2021,168.5
17/9/2021,167.46
16/9/2021,167.5
15/9/2021,169.25
14/9/2021,167.9
13/9/2021,167.9
11/9/2021,167.9
10/9/2021,167.9
09/9/2021,167.5
08/9/2021,167
07/9/2021,167.5
06/9/2021,166.7
03/9/2021,166.5
02/9/2021,167.02
01/9/2021,166.5
31/8/2021,166.25
30/8/2021,164.94
27/8/2021,165.7
26/8/2021,166
25/8/2021,165.75
24/8/2021,164.75
23/8/2021,164.2
20/8/2021,164.05
19/8/2021,163.6
18/8/2021,163.6
17/8/2021,163.6
16/8/2021,164.1
13/8/2021,163.6
12/8/2021,163.6
11/8/2021,163.85
10/8/2021,163.5
09/8/2021,163.75
06/8/2021,163.1
05/8/2021,163.4
04/8/2021,163.5
03/8/2021,162.65
02/8/2021,163.25
30/7/2021,161.75
29/7/2021,161.5
28/7/2021,161.5
27/7/2021,161
26/7/2021,161
23/7/2021,161.46
22/7/2021,160.7
21/7/2021,160.7
20/7/2021,160.7
19/7/2021,160.7
16/7/2021,159
15/7/2021,159
14/7/2021,158.5
13/7/2021,159
12/7/2021,159.4
09/7/2021,158.9
08/7/2021,159
07/7/2021,158.3
06/7/2021,158.05
05/7/2021,157.68
02/7/2021,157.5
01/7/2021,157.8
30/6/2021,157.53
29/6/2021,158.1
28/6/2021,157.75
26/6/2021,157.45
25/6/2021,157.6
24/6/2021,157.6
23/6/2021,157.8
22/6/2021,157.75
21/6/2021,157
18/6/2021,156.5
17/6/2021,156.65
16/6/2021,156.5
15/6/2021,156.25
14/6/2021,155.75
11/6/2021,155.75
10/6/2021,155.5
09/6/2021,155.35
08/6/2021,155.19
07/6/2021,154.5
04/6/2021,154.3
03/6/2021,154.25
02/6/2021,154.25
01/6/2021,154.25
31/5/2021,152.52
28/5/2021,154.3
27/5/2021,154.5
26/5/2021,154.5
25/5/2021,154.15
24/5/2021,152.87
21/5/2021,152.72
20/5/2021,153
19/5/2021,152.85
18/5/2021,152.3
17/5/2021,152.2
15/5/2021,152.2
14/5/2021,151.7
13/5/2021,151.9
12/5/2021,151.05
11/5/2021,151.35
10/5/2021,151.6
07/5/2021,151.92
06/5/2021,152.45
05/5/2021,152.45
04/5/2021,153.1
03/5/2021,152.85
30/4/2021,152.98
29/4/2021,153
28/4/2021,153.95
27/4/2021,154
26/4/2021,153.85
24/4/2021,153.7
23/4/2021,153.25
22/4/2021,153.2
21/4/2021,152.5
20/4/2021,152.6
19/4/2021,152.6
16/4/2021,152.5
15/4/2021,152.55
14/4/2021,152.6
13/4/2021,152.55
12/4/2021,152.6
09/4/2021,152.19
08/4/2021,152.06
07/4/2021,152.29
06/4/2021,152.69
05/4/2021,152.09
02/4/2021,152.94
01/4/2021,151.72
