Date,Sales,Average Discount
01/04/2017,16748,23
02/04/2017,11340,0
03/04/2017,5331,0
04/04/2017,1300,0
06/04/2017,14660,0
07/04/2017,15095,0
08/04/2017,3530,0
09/04/2017,33555,0
10/04/2017,3840,0
11/04/2017,4890,0
12/04/2017,3690,0
13/04/2017,3195,0
14/04/2017,3440,0
16/04/2017,10730,0
17/04/2017,2350,0
18/04/2017,33320,0
19/04/2017,550,0
20/04/2017,1995,0
21/04/2017,15070,0
23/04/2017,6500,0
24/04/2017,11125,0
25/04/2017,400,0
26/04/2017,6450,0
27/04/2017,2590,0
28/04/2017,1590,0
29/04/2017,5285,0
30/04/2017,7885,0
01/05/2017,7420,0
03/05/2017,4090,0
04/05/2017,550,0
05/05/2017,5190,0
06/05/2017,12115,0
07/05/2017,11160,0
08/05/2017,7122,0
09/05/2017,11326,20
10/05/2017,2885,0
11/05/2017,9750,0
12/05/2017,11372,0
13/05/2017,27477,0
14/05/2017,14703,0
15/05/2017,3680,0
16/05/2017,4585,0
17/05/2017,2135,0
18/05/2017,7120,0
19/05/2017,1500,0
20/05/2017,4925,0
21/05/2017,15880,0
22/05/2017,3875,20
23/05/2017,9450,0
24/05/2017,6670,0
25/05/2017,21590,35
26/05/2017,7883,0
27/05/2017,4041,0
28/05/2017,2882,15
29/05/2017,8855,0
30/05/2017,5800,0
31/05/2017,8092,20
01/06/2017,4746,0
03/06/2017,4484,0
04/06/2017,17902,20
05/06/2017,1050,0
06/06/2017,1440,0
07/06/2017,6444,20
08/06/2017,7865,0
09/06/2017,4196,0
10/06/2017,6937,20
11/06/2017,18915,0
12/06/2017,12265,20
13/06/2017,4420,0
14/06/2017,6645,0
15/06/2017,9310,0
16/06/2017,12480,20
17/06/2017,15140,0
18/06/2017,3935,0
19/06/2017,11830,0
20/06/2017,13885,0
21/06/2017,28855,0
22/06/2017,32831,0
23/06/2017,35351,0
24/06/2017,50260,20
25/06/2017,54660,0
26/06/2017,7380,0
28/06/2017,8710,0
29/06/2017,9130,0
30/06/2017,5285,0
01/07/2017,1765,0
02/07/2017,4845,0
03/07/2017,5890,0
04/07/2017,24812,20
05/07/2017,14650,0
06/07/2017,5540,0
07/07/2017,28525,0
08/07/2017,1880,0
09/07/2017,11260,0
10/07/2017,2551,0
11/07/2017,14580,0
12/07/2017,23345,0
13/07/2017,20690,0
14/07/2017,14395,0
15/07/2017,4990,0
16/07/2017,14015,0
17/07/2017,10240,0
18/07/2017,5665,50
19/07/2017,24570,0
20/07/2017,13175,0
21/07/2017,18700,0
22/07/2017,13125,0
23/07/2017,8830,0
24/07/2017,4725,0
25/07/2017,31115,0
26/07/2017,7950,0
27/07/2017,580,0
28/07/2017,1995,0
29/07/2017,10915,0
30/07/2017,2940,0
31/07/2017,6230,0
01/08/2017,25755,0
02/08/2017,11285,0
03/08/2017,19950,0
04/08/2017,14095,0
05/08/2017,24750,0
06/08/2017,9165,0
07/08/2017,9365,0
08/08/2017,6965,50
09/08/2017,16311,0
10/08/2017,23100,0
11/08/2017,5140,0
12/08/2017,30380,0
13/08/2017,9690,0
14/08/2017,3340,0
15/08/2017,7945,0
16/08/2017,7760,0
17/08/2017,15940,0
18/08/2017,16010,0
19/08/2017,18680,0
20/08/2017,14330,0
21/08/2017,15775,0
22/08/2017,7690,0
23/08/2017,6795,0
24/08/2017,26157,0
25/08/2017,24010,0
26/08/2017,18728,20
27/08/2017,16230,0
28/08/2017,5960,0
29/08/2017,13355,0
30/08/2017,24425,0
31/08/2017,17235,0
01/09/2017,36960,0
02/09/2017,1300,0
04/09/2017,22446,50
05/09/2017,7175,0
06/09/2017,26495,0
07/09/2017,44655,0
08/09/2017,11310,0
09/09/2017,22130,0
10/09/2017,16790,0
11/09/2017,25195,0
12/09/2017,19090,50
13/09/2017,9575,0
14/09/2017,18680,0
15/09/2017,8450,0
16/09/2017,14980,0
17/09/2017,2725,0
18/09/2017,15690,0
19/09/2017,14930,0
20/09/2017,15805,0
21/09/2017,5515,0
22/09/2017,6750,0
23/09/2017,12480,0
24/09/2017,18830,50
25/09/2017,8875,0
26/09/2017,6665,0
27/09/2017,7060,0
28/09/2017,1150,0
29/09/2017,20616,50
02/10/2017,4390,0
03/10/2017,20770,0
04/10/2017,6095,0
05/10/2017,22430,0
06/10/2017,8450,0
07/10/2017,7985,0
08/10/2017,3810,0
09/10/2017,10335,0
10/10/2017,11793,50
11/10/2017,16790,0
12/10/2017,10600,0
13/10/2017,4765,0
14/10/2017,6485,0
15/10/2017,32925,0
16/10/2017,11125,0
17/10/2017,3610,50
18/10/2017,16280,0
19/10/2017,15280,0
20/10/2017,6080,0
21/10/2017,5105,0
22/10/2017,20530,0
23/10/2017,22340,0
24/10/2017,6090,0
25/10/2017,24730,0
26/10/2017,23895,0
27/10/2017,25965,0
28/10/2017,21535,0
29/10/2017,28220,0
30/10/2017,19400,0
31/10/2017,2850,0
01/11/2017,6030,0
02/11/2017,21065,0
03/11/2017,17545,0
04/11/2017,42640,20
05/11/2017,10032,20
06/11/2017,1640,0
07/11/2017,10870,50
08/11/2017,7425,0
09/11/2017,7800,0
10/11/2017,24678,20
11/11/2017,12386,20
12/11/2017,22682,20
14/11/2017,9225,0
15/11/2017,20094,20
16/11/2017,21462,20
17/11/2017,21332,20
18/11/2017,24333,20
19/11/2017,36257,20
20/11/2017,8590,0
21/11/2017,17850,20
22/11/2017,13766,40
23/11/2017,23018,20
24/11/2017,48027,33
25/11/2017,53570,33
26/11/2017,54493,33
27/11/2017,15777,20
28/11/2017,6206,33
29/11/2017,19532,20
30/11/2017,10394,20
01/12/2017,8969,25
02/12/2017,10027,20
03/12/2017,26334,20
04/12/2017,31354,20
05/12/2017,1573,50
06/12/2017,14840,0
07/12/2017,2430,0
08/12/2017,12122,20
09/12/2017,19905,0
10/12/2017,11957,20
11/12/2017,3275,0
12/12/2017,24460,20
13/12/2017,4657,20
14/12/2017,10995,33
15/12/2017,4200,0
16/12/2017,18926,20
17/12/2017,16330,0
18/12/2017,7167,20
19/12/2017,27057,20
20/12/2017,20379,20
21/12/2017,18797,20
22/12/2017,12847,20
23/12/2017,15070,0
24/12/2017,13935,0
25/12/2017,33026,20
26/12/2017,14386,35
27/12/2017,23462,20
28/12/2017,12299,20
29/12/2017,17687,20
30/12/2017,13055,0
31/12/2017,840,0
01/01/2018,12948,20
02/01/2018,10530,0
03/01/2018,26292,20
04/01/2018,14784,20
05/01/2018,975,0
06/01/2018,30108,40
07/01/2018,1300,0
08/01/2018,2580,0
09/01/2018,19444,20
10/01/2018,6846,20
11/01/2018,2135,0
12/01/2018,9145,0
13/01/2018,7560,20
14/01/2018,5720,0
15/01/2018,2940,0
16/01/2018,9174,20
17/01/2018,5930,0
18/01/2018,9715,0
19/01/2018,10948,20
20/01/2018,29192,20
21/01/2018,10330,0
