"Date, Cases"
Date,Cases
22/1/2020,0
23/1/2020,0
24/1/2020,0
25/1/2020,0
26/1/2020,0
27/1/2020,0
28/1/2020,0
29/1/2020,0
30/1/2020,0
31/1/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/2/2020,0
14/2/2020,0
15/2/2020,0
16/2/2020,0
17/2/2020,0
18/2/2020,0
19/2/2020,0
20/2/2020,0
21/2/2020,0
22/2/2020,0
23/2/2020,0
24/2/2020,0
25/2/2020,2
26/2/2020,2
27/2/2020,2
28/2/2020,4
29/2/2020,4
01/03/2020,4
02/03/2020,5
03/03/2020,5
04/03/2020,5
05/03/2020,6
06/03/2020,6
07/03/2020,6
08/03/2020,6
09/03/2020,16
10/03/2020,19
11/03/2020,20
12/03/2020,28
13/3/2020,31
14/3/2020,53
15/3/2020,136
16/3/2020,236
17/3/2020,299
18/3/2020,454
19/3/2020,501
20/3/2020,730
21/3/2020,776
22/3/2020,875
23/3/2020,972
24/3/2020,1063
25/3/2020,1201
26/3/2020,1373
27/3/2020,1495
28/3/2020,1597
29/3/2020,1717
30/3/2020,1938
31/3/2020,2118
01/04/2020,2421
02/04/2020,2686
03/04/2020,2818
04/04/2020,3157
05/04/2020,3766
06/04/2020,4035
07/04/2020,4263
08/04/2020,4489
09/04/2020,4695
10/04/2020,5011
11/04/2020,5230
12/04/2020,5496
13/4/2020,5837
14/4/2020,6383
15/4/2020,6919
16/4/2020,7025
17/4/2020,7638
18/4/2020,8348
19/4/2020,8418
20/4/2020,9565
21/4/2020,10076
22/4/2020,11155
23/4/2020,11940
24/4/2020,12723
25/4/2020,13328
26/4/2020,13915
27/4/2020,14612
28/4/2020,15525
29/4/2020,16817
30/4/2020,18114
01/05/2020,19103
02/05/2020,20084
03/05/2020,20941
04/05/2020,22049
05/05/2020,24073
06/05/2020,24644
07/05/2020,26435
08/05/2020,28736
09/05/2020,30334
10/05/2020,32081
11/05/2020,34336
12/05/2020,35298
13/5/2020,35788
14/5/2020,38799
15/5/2020,38799
16/5/2020,40151
17/5/2020,42125
18/5/2020,43966
19/5/2020,45898
20/5/2020,48091
21/5/2020,50694
22/5/2020,52437
23/5/2020,54601
24/5/2020,56349
25/5/2020,57705
26/5/2020,59151
27/5/2020,61227
28/5/2020,64028
29/5/2020,66457
30/5/2020,69496
31/5/2020,72460
01/06/2020,76398
02/06/2020,80463
03/06/2020,85264
04/06/2020,89249
05/06/2020,93983
06/06/2020,98943
07/06/2020,103671
08/06/2020,108317
09/06/2020,113702
10/06/2020,119536
11/06/2020,125933
12/06/2020,125933
13/6/2020,132405
14/6/2020,144478
15/6/2020,148921
16/6/2020,154760
17/6/2020,160118
18/6/2020,165062
19/6/2020,171666
20/6/2020,176617
21/6/2020,181088
22/6/2020,185034
23/6/2020,188926
24/6/2020,192970
25/6/2020,195745
26/6/2020,198883
27/6/2020,202955
28/6/2020,206512
29/6/2020,209337
30/6/2020,213470
01/07/2020,217809
02/07/2020,221896
03/07/2020,221896
04/07/2020,225283
05/07/2020,231818
06/07/2020,234509
07/07/2020,237489
08/07/2020,240848
09/07/2020,243599
10/07/2020,246351
11/07/2020,248872
12/07/2020,251625
13/7/2020,253604
14/7/2020,255769
15/7/2020,257914
16/7/2020,257914
17/7/2020,261917
18/7/2020,263496
19/7/2020,265083
20/7/2020,266096
21/7/2020,267428
22/7/2020,269191
23/7/2020,270400
24/7/2020,271887
25/7/2020,273113
26/7/2020,273113
27/7/2020,274289
28/7/2020,275225
29/7/2020,276288
30/7/2020,277402
31/7/2020,278305
01/08/2020,278305
02/08/2020,279699
03/08/2020,280461
04/08/2020,280461
05/08/2020,281136
06/08/2020,281863
07/08/2020,282645
08/08/2020,283487
09/08/2020,284121
10/08/2020,284660
11/08/2020,285191
12/08/2020,285921
13/8/2020,286674
14/8/2020,287300
15/8/2020,288047
16/8/2020,289215
17/8/2020,289215
18/8/2020,289832
19/8/2020,290445
20/8/2020,290958
21/8/2020,291588
22/8/2020,292174
23/8/2020,293261
24/8/2020,293261
25/8/2020,293711
26/8/2020,294193
27/8/2020,294638
28/8/2020,295053
29/8/2020,295372
30/8/2020,295636
31/8/2020,295849
01/09/2020,296149
02/09/2020,297014
03/09/2020,297512
04/09/2020,298025
05/09/2020,298025
06/09/2020,298903
07/09/2020,299233
08/09/2020,299659
09/09/2020,300030
10/09/2020,300371
11/09/2020,300955
12/09/2020,301481
13/9/2020,302020
14/9/2020,302424
15/9/2020,303089
16/9/2020,303634
17/9/2020,304386
18/9/2020,305031
19/9/2020,305671
20/9/2020,306304
