Date,Sales
01/01/2018,12948
02/01/2018,10530
03/01/2018,26292
04/01/2018,14784
05/01/2018,975
06/01/2018,30108
07/01/2018,1300
08/01/2018,2580
09/01/2018,19444
10/01/2018,6846
11/01/2018,2135
12/01/2018,9145
13/01/2018,7560
14/01/2018,5720
15/01/2018,2940
16/01/2018,9174
17/01/2018,5930
18/01/2018,9715
19/01/2018,10948
20/01/2018,29192
21/01/2018,10330
22/01/2018,6982
23/01/2018,8642
24/01/2018,1390
25/01/2018,17215
26/01/2018,23260
27/01/2018,12340
28/01/2018,7682
29/01/2018,2180
30/01/2018,6355
31/01/2018,7030
01/02/2018,17707
02/02/2018,10362
03/02/2018,6260
04/02/2018,12538
05/02/2018,26721
06/02/2018,14207
07/02/2018,12642
08/02/2018,10920
09/02/2018,29810
10/02/2018,16545
11/02/2018,28597
12/02/2018,21563
13/02/2018,7858
14/02/2018,695
15/02/2018,13342
16/02/2018,12628
17/02/2018,6275
18/02/2018,26332
19/02/2018,5210
20/02/2018,4522
21/02/2018,12289
22/02/2018,12772
23/02/2018,5075
24/02/2018,10685
25/02/2018,18650
26/02/2018,6457
27/02/2018,9884
28/02/2018,5822
01/03/2018,22076
02/03/2018,10705
03/03/2018,13967
04/03/2018,6720
05/03/2018,6810
06/03/2018,22944
07/03/2018,4990
08/03/2018,12661
09/03/2018,4805
10/03/2018,17885
11/03/2018,2190
12/03/2018,4982
13/03/2018,200
14/03/2018,7462
15/03/2018,6975
16/03/2018,14075
17/03/2018,13050
18/03/2018,8050
19/03/2018,28400
20/03/2018,13780
21/03/2018,7066
22/03/2018,580
23/03/2018,9526
24/03/2018,14597
25/03/2018,11775
26/03/2018,4777
27/03/2018,2900
28/03/2018,650
29/03/2018,9705
30/03/2018,43827
31/03/2018,18497
01/04/2018,3380
02/04/2018,17490
03/04/2018,12598
04/04/2018,15982
05/04/2018,6440
06/04/2018,5640
07/04/2018,12025
08/04/2018,15325
09/04/2018,17287
10/04/2018,7756
11/04/2018,7737
12/04/2018,6870
13/04/2018,2545
14/04/2018,8752
15/04/2018,34824
16/04/2018,8649
17/04/2018,5700
18/04/2018,8325
19/04/2018,9765
20/04/2018,7034
21/04/2018,11530
22/04/2018,2080
23/04/2018,5552
24/04/2018,6925
25/04/2018,1160
26/04/2018,16055
27/04/2018,4490
28/04/2018,9202
29/04/2018,16655
30/04/2018,11882
01/05/2018,14312
02/05/2018,1740
03/05/2018,15811
04/05/2018,23750
05/05/2018,30102
06/05/2018,7760
07/05/2018,7695
08/05/2018,200
09/05/2018,4205
10/05/2018,22375
11/05/2018,9590
12/05/2018,20210
13/05/2018,13125
14/05/2018,19275
15/05/2018,2610
16/05/2018,14975
17/05/2018,7590
18/05/2018,9215
19/05/2018,750
20/05/2018,3500
21/05/2018,5985
22/05/2018,2255
23/05/2018,2820
24/05/2018,5665
25/05/2018,2340
26/05/2018,10220
27/05/2018,10965
28/05/2018,7870
29/05/2018,4610
30/05/2018,4870
31/05/2018,20655
01/06/2018,12630
02/06/2018,14785
03/06/2018,19685
04/06/2018,37345
05/06/2018,4580
06/06/2018,21290
07/06/2018,30040
08/06/2018,34275
09/06/2018,52175
10/06/2018,27005
11/06/2018,38760
12/06/2018,49950
13/06/2018,41510
14/06/2018,38520
15/06/2018,23940
16/06/2018,9685
18/06/2018,10220
19/06/2018,35540
20/06/2018,23920
21/06/2018,29285
22/06/2018,35230
23/06/2018,20000
24/06/2018,23880
25/06/2018,8170
26/06/2018,16940
27/06/2018,15505
28/06/2018,12220
29/06/2018,19207
30/06/2018,23630
01/07/2018,10665
02/07/2018,11010
03/07/2018,6785
04/07/2018,35450
05/07/2018,8620
06/07/2018,30475
07/07/2018,17255
08/07/2018,31190
09/07/2018,13790
10/07/2018,4450
11/07/2018,18095
12/07/2018,26477
13/07/2018,8645
14/07/2018,26470
15/07/2018,11785
16/07/2018,15015
17/07/2018,29850
18/07/2018,16050
19/07/2018,9930
20/07/2018,18035
21/07/2018,34547
22/07/2018,7289
23/07/2018,17485
24/07/2018,18630
25/07/2018,1550
26/07/2018,2890
27/07/2018,12370
28/07/2018,20536
29/07/2018,33844
30/07/2018,22720
31/07/2018,14500
01/08/2018,42635
02/08/2018,26825
03/08/2018,17500
04/08/2018,17285
05/08/2018,15315
06/08/2018,10430
07/08/2018,17755
08/08/2018,13040
09/08/2018,34646
10/08/2018,400
11/08/2018,14446
12/08/2018,14695
13/08/2018,51077
14/08/2018,12239
15/08/2018,7764
16/08/2018,12645
17/08/2018,16795
18/08/2018,11120
19/08/2018,13060
20/08/2018,19255
21/08/2018,15890
24/08/2018,7025
25/08/2018,5070
26/08/2018,8035
27/08/2018,11530
28/08/2018,16900
29/08/2018,27480
30/08/2018,11000
31/08/2018,18865
01/09/2018,16090
02/09/2018,6550
03/09/2018,21005
04/09/2018,28865
05/09/2018,17795
06/09/2018,7140
07/09/2018,19300
08/09/2018,5625
09/09/2018,11805
10/09/2018,5785
11/09/2018,6450
12/09/2018,7135
13/09/2018,10570
14/09/2018,21895
15/09/2018,15165
16/09/2018,22841
17/09/2018,19880
18/09/2018,10425
19/09/2018,18280
22/09/2018,55135
23/09/2018,9355
24/09/2018,14160
25/09/2018,22140
26/09/2018,13155
27/09/2018,28985
28/09/2018,9350
29/09/2018,24055
30/09/2018,11590
01/10/2018,1945
02/10/2018,8370
03/10/2018,13040
04/10/2018,7495
05/10/2018,7320
06/10/2018,22665
07/10/2018,14210
08/10/2018,2140
09/10/2018,26630
10/10/2018,7015
11/10/2018,25395
12/10/2018,23930
13/10/2018,11402
14/10/2018,16025
15/10/2018,13761
16/10/2018,19958
17/10/2018,6910
18/10/2018,16144
19/10/2018,46275
20/10/2018,36500
21/10/2018,20744
22/10/2018,3044
23/10/2018,12742
24/10/2018,11365
25/10/2018,15930
26/10/2018,6978
27/10/2018,10013
28/10/2018,32304
29/10/2018,32951
30/10/2018,4781
31/10/2018,8658
01/11/2018,11957
02/11/2018,20026
03/11/2018,22937
04/11/2018,14970
05/11/2018,16049
06/11/2018,3793
07/11/2018,22182
08/11/2018,16475
09/11/2018,9025
10/11/2018,18373
11/11/2018,11429
12/11/2018,6989
13/11/2018,11731
14/11/2018,7553
15/11/2018,5877
16/11/2018,638
17/11/2018,31075
18/11/2018,11578
19/11/2018,6608
20/11/2018,21243
21/11/2018,8598
22/11/2018,9728
23/11/2018,42231
24/11/2018,27563
25/11/2018,29769
26/11/2018,13385
27/11/2018,16250
28/11/2018,8967
29/11/2018,6395
30/11/2018,7484
01/12/2018,13607
02/12/2018,10721
03/12/2018,17374
04/12/2018,17404
05/12/2018,15322
06/12/2018,17730
07/12/2018,14272
08/12/2018,25785
09/12/2018,11932
11/12/2018,35070
12/12/2018,20650
13/12/2018,39027
14/12/2018,32574
15/12/2018,38241
16/12/2018,9262
17/12/2018,9566
18/12/2018,28262
19/12/2018,23183
20/12/2018,19458
21/12/2018,17805
22/12/2018,17195
23/12/2018,6859
24/12/2018,30342
25/12/2018,22570
26/12/2018,15676
27/12/2018,5941
28/12/2018,12797
29/12/2018,5076
30/12/2018,10634
31/12/2018,23564
