,brand u199P train,brand T75q train,brand d194w train,brand N97e train,brand r18p train,brand m179b train,brand L211K train,brand p57S train,brand M9H train,brand o21V train,brand b75G train,brand P144q train,brand Y206o train,brand N239O train,brand L115J train,brand m184o train,brand q92a train,brand M147U train,brand u199P actual,brand T75q actual,brand d194w actual,brand N97e actual,brand r18p actual,brand m179b actual,brand L211K actual,brand p57S actual,brand M9H actual,brand o21V actual,brand b75G actual,brand P144q actual,brand Y206o actual,brand N239O actual,brand L115J actual,brand m184o actual,brand q92a actual,brand M147U actual
0,4.8580375,10.659959,8.626526,16.389475,25.549068,5.6556687,16.441256,4.6353703,23.412296,0.13310154,0.18850322,-2.158064,-0.17663048,0.1341342,0.13394189,-2.4299815,-0.009350862,0.012012877,5.5,10.5,8.5,15.499999999999998,22.999999999999996,5.5,18.5,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17.17452,30.83986,39.833694,33.051327,62.91037,11.893804,29.314308,5.5331206,31.865469,12.548695,0.10317423,-8.335228,0.15665947,0.14633617,0.20112069,-0.5887971,-0.122256905,0.0095382705,18.0,28.5,38.5,33.5,64.5,11.5,29.000000000000004,6.0,32.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19.768095,34.390648,22.49334,5.2217493,31.823883,24.909288,20.091024,12.637791,27.358597,9.034811,0.15478548,-8.313797,0.082707204,0.26282114,0.28998783,-1.1132557,-0.15282004,0.018224873,20.0,32.0,22.500000000000004,5.0,30.999999999999996,24.5,21.5,13.5,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22.066944,23.489124,44.591576,18.692802,49.948708,11.830754,55.16509,14.15201,22.9974,16.693636,-0.11576347,5.244513,0.101312235,-0.098585054,-0.07002321,-0.08034825,-0.07217407,0.013881907,22.0,23.0,44.0,19.5,52.0,12.0,57.0,15.5,22.499999999999996,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.248455,31.103958,27.688606,14.828708,62.435814,5.092719,26.520004,13.075161,9.675948,15.008623,0.104105905,-3.5987468,-0.073597744,-0.04994367,0.16024855,-2.0927122,-0.10363227,0.008182913,8.0,30.0,27.499999999999996,15.0,62.5,4.5,27.5,13.000000000000002,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.808652,11.647801,26.419392,4.776187,31.101305,11.713599,26.317986,10.117369,18.964838,8.58559,0.23924388,-12.368304,-0.00013015978,0.7045423,0.16161804,-0.84341335,-0.26321173,0.01427982,7.0,8.0,26.0,3.0,28.0,11.5,28.0,10.0,21.500000000000004,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14.559371,19.9035,28.122087,8.666466,38.426487,13.823919,27.690985,1.44062,49.681683,16.91841,0.49418104,-12.816574,-0.27376288,0.51622766,0.24980028,-1.2731094,-0.14192344,0.015516125,14.0,18.5,26.500000000000004,7.5,32.0,12.5,29.5,1.0,55.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.204529,16.25957,19.394426,3.021894,30.904022,19.16293,3.5954113,2.0685115,21.06772,6.480299,3.908537,2.545079,0.1685614,-0.49586737,0.011812817,-0.31340623,-0.10894863,0.01370886,7.0,15.0,19.499999999999996,4.0,35.0,19.5,5.0,3.0,21.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.974208,16.644136,12.673332,9.842655,10.915339,2.8410082,10.759732,0.21428186,14.316357,4.7585087,4.1403694,0.2678443,-0.1023233,0.8899689,0.118506536,-2.0393984,-0.17789191,0.020105757,10.5,15.0,12.0,8.5,9.0,2.0,13.0,1.0,18.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
9,12.648719,21.721226,12.651511,11.301959,23.14077,4.0158615,5.4640822,3.2682726,49.306194,3.1184,4.6381283,17.888243,0.42245978,1.166184,-0.18031317,1.6086857,-0.20190628,0.0073096678,4.5,24.5,15.5,9.5,26.0,6.0,9.0,4.5,35.5,3.0,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
10,26.566645,17.295086,13.677877,8.728335,23.066559,5.6786475,18.953165,3.3212023,78.43841,2.7459548,6.697072,-10.554127,3.1243868,-1.2059919,0.29952493,-0.2806449,0.20956202,0.0109329,44.0,15.0,11.0,15.0,20.0,4.0,17.5,5.499999999999999,126.00000000000001,2.0,7.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0
11,21.905323,9.462638,9.797451,9.910271,18.457247,5.520355,25.827589,9.060349,63.42316,1.8555506,5.985554,-10.299596,3.518465,1.0012681,0.16877538,-3.432802,-0.29495353,0.005003132,10.0,11.0,9.0,5.0,17.000000000000004,6.0,24.0,6.0,25.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
12,8.4763,18.102516,10.025868,19.963852,28.090017,5.6178837,7.535355,4.9957113,61.282124,0.12959792,3.077395,-1.5729624,1.082772,-0.32166874,0.25460294,0.37018704,-0.063761234,0.010410428,8.5,18.0,8.0,22.0,30.0,4.5,8.0,5.499999999999999,67.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
13,25.89743,47.513138,60.397953,23.871515,62.07927,26.169947,16.340015,7.8098755,129.48987,2.6006408,5.737644,15.792378,5.9964886,0.10086335,0.2050086,-1.7983341,-0.08623582,0.012854107,26.0,47.50000000000001,62.0,22.0,60.0,26.5,18.0,8.5,128.5,2.0,5.5,12.5,6.0,0.0,0.0,0.0,0.0,0.0
14,24.91698,9.346753,28.037422,6.7275667,19.547592,18.688023,19.931986,2.8532312,83.42609,-0.015726713,0.13920279,1.1910356,1.4867668,15.091948,0.34705865,-0.86858153,-0.15349539,0.013259552,25.5,9.5,27.0,6.5,18.5,18.5,21.5,4.0,84.5,0.0,0.0,8.0,1.5,15.0,0.0,0.0,0.0,0.0
15,15.1037245,25.539299,25.756126,11.474742,8.002432,10.945985,35.744614,5.274036,38.516388,-0.08726608,0.19238505,-3.5575292,0.9844394,26.24652,0.19899358,-0.23581672,0.11395403,0.015385717,14.0,18.0,30.500000000000004,9.5,8.500000000000002,11.0,41.5,5.0,44.99999999999999,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0
16,10.948104,15.099883,34.90926,20.799728,2.5666418,12.401394,47.11172,2.876665,37.54445,0.1293145,0.100542426,-9.434287,0.102716416,24.816862,0.19212066,-0.14881778,-0.13334525,0.008318804,11.5,15.0,35.0,21.5,2.5,12.0,47.5,3.5,39.00000000000001,0.0,0.0,6.0,0.0,25.0,0.0,0.0,0.0,0.0
17,12.549364,61.65566,40.931484,18.760708,4.68526,18.052015,15.620216,-0.34417662,29.428293,0.7161056,-0.30044383,-2.9646914,0.08175749,21.57094,0.28474107,-2.8887284,-0.23013975,0.006803833,15.000000000000002,70.0,34.5,19.5,3.0,17.5,10.0,1.0,27.500000000000004,1.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0
18,17.363768,13.9728155,18.149956,17.660429,4.4096875,8.680106,11.96399,7.002905,55.776398,0.9056211,0.2616761,14.853868,0.18696731,15.524183,3.45223,10.657248,-0.22748896,0.014479525,18.0,14.0,19.0,12.499999999999998,3.5,6.5,8.0,10.0,55.00000000000001,0.0,0.0,9.0,0.0,17.0,3.0,8.0,0.0,0.0
19,12.043535,16.782743,22.942455,19.466988,1.5677284,11.1195965,7.2569695,2.9169598,55.03754,0.55670536,-0.08466519,-2.682797,-0.02258111,12.67001,3.9304821,15.351674,0.08904761,0.00026328117,11.999999999999998,15.5,23.499999999999996,23.5,3.0,13.0,13.0,0.0,54.5,1.0,0.0,20.5,0.0,10.0,4.0,19.0,0.0,0.0
20,10.108713,58.738644,71.59633,13.045898,4.339813,19.397577,6.7871156,0.24705912,44.054085,-0.3295811,0.31942433,5.760093,-0.026770407,13.743886,3.22279,7.2417383,-0.04497013,0.015120305,9.0,55.0,73.0,12.0,5.0,19.0,9.0,1.0,46.0,0.0,0.0,11.0,0.0,15.0,3.0,8.0,0.0,0.0
21,22.961235,8.926079,12.570474,19.672802,6.7178736,5.8547454,20.455494,0.19771157,52.841946,1.1548815,-0.07198423,15.218204,-0.18585461,12.528769,1.8548161,10.402025,0.1041767,0.011090934,27.0,5.5,8.5,19.0,9.0,6.0,18.0,2.5,45.5,1.0,0.0,13.5,0.0,13.0,1.0,13.0,0.0,0.0
22,14.468184,10.545553,16.799042,22.278458,6.9504776,4.5231667,22.718401,13.561056,51.53298,0.4506988,0.26162645,38.316032,0.36645782,11.267508,0.5087031,2.915097,-0.18420047,0.002689585,13.5,8.5,24.0,19.5,3.0,4.0,23.5,1.0,47.5,0.0,0.0,24.0,0.0,13.0,1.0,3.0,0.0,0.0
23,12.450563,8.460044,17.979883,25.328007,7.502221,2.678653,30.172861,26.163124,51.711895,-0.6593353,0.15723166,24.16022,0.79082036,10.079286,0.2140285,-0.6802783,0.014279064,0.010976277,10.0,12.0,15.0,29.0,7.5,1.0,30.5,42.0,61.5,0.0,0.0,34.0,1.0,8.5,0.0,0.0,0.0,0.0
24,14.637936,4.8151712,12.947941,12.58576,3.4362912,4.7292495,20.874676,5.749045,64.74665,1.0971256,0.15001173,32.724316,1.01893,6.9387603,0.315155,1.1681427,-0.08319527,0.006100759,16.0,4.0,14.0,11.5,3.0,5.5,21.5,6.0,63.5,1.0,0.0,32.0,1.0,7.0,0.0,3.0,0.0,0.0
25,16.735624,20.794039,22.137793,48.706512,17.345963,10.539545,20.724806,2.1886678,52.86512,1.0993586,0.15651414,41.89618,0.00068709813,1.0664858,1.4155016,7.530509,1.3371933,0.018960379,17.0,20.5,23.0,48.0,16.5,10.5,22.5,3.0,55.5,1.0,0.0,49.0,0.0,1.0,1.0,9.0,1.5,0.0
26,38.403877,10.940637,21.107044,7.7855415,5.839562,5.782749,44.830467,0.23022817,82.583374,-0.16822915,0.012633875,46.514496,-0.0034443531,5.1010804,0.6388879,-4.7707834,2.3714085,-0.00048481673,40.5,11.5,20.0,6.999999999999999,6.5,5.0,45.0,0.0,88.5,0.0,0.0,34.5,0.0,3.0,0.0,0.0,2.0,0.0
27,45.779552,7.4955387,14.513579,11.511625,6.2504516,1.9160697,50.293476,9.548221,86.31972,0.11013296,0.28158042,55.530407,0.19978501,2.3978164,0.4645113,17.999027,4.5722914,0.016032614,43.0,5.0,21.0,10.0,8.0,4.0,57.0,0.0,80.0,0.0,0.0,64.0,0.0,3.0,1.0,4.0,6.0,0.0
