,brand t140p train,brand v177j train,brand T75q train,brand w32S train,brand G56h train,brand t140p actual,brand v177j actual,brand T75q actual,brand w32S actual,brand G56h actual
0,-0.05884117,0.19086415,-0.065840244,0.030514318,0.015469195,0.0,0.0,1.0,0.0,0.0
1,-0.08908591,0.22815283,-0.052989066,0.040507525,0.0074273287,0.0,0.0,0.0,0.0,0.0
2,-0.09224421,0.24836884,-0.020545483,0.039833643,0.00028439937,0.0,0.0,1.0,0.0,0.0
3,-0.09570873,0.24026254,-0.029524537,0.03976565,-0.00026526907,0.0,0.0,0.0,0.0,0.0
4,-0.093270004,0.2318884,-0.03595659,0.04003509,0.00046772277,0.0,0.0,0.0,0.0,0.0
5,-0.08630729,0.22534549,-0.040062785,0.040495366,0.0020494997,0.0,1.0,0.0,0.0,0.0
6,-0.07308772,0.22680677,-0.040352345,0.04276383,0.004784576,0.0,0.0,0.0,0.0,0.0
7,-0.08403367,0.25192773,-0.025719583,0.04846356,0.0014129444,0.0,0.0,0.0,0.0,0.0
8,-0.08055335,0.27800658,0.008634925,0.048963465,-0.0047704917,0.0,0.0,0.0,0.0,0.0
9,-0.080456346,0.2767274,0.0015943348,0.050097875,-0.005275736,0.0,0.0,0.0,0.0,0.0
10,-0.07733187,0.27504402,-0.0034998658,0.051546328,-0.005194236,0.0,0.0,0.0,0.0,0.0
11,-0.07201871,0.273924,-0.006718397,0.053302847,-0.004637091,0.0,0.0,0.0,0.0,0.0
12,-0.0654777,0.27458718,-0.00851208,0.05535871,-0.003671736,0.0,0.0,0.0,0.0,0.0
13,-0.083390385,0.27351815,-0.03710565,0.061557733,-0.0019619619,0.0,0.0,0.0,0.0,0.0
14,-0.080075175,0.29934475,-0.0030075312,0.06201508,-0.008012796,0.0,0.0,0.0,0.0,0.0
15,-0.07999724,0.29799458,-0.01012364,0.063168585,-0.0085236225,0.0,0.0,0.0,0.0,0.0
16,-0.076911956,0.29621875,-0.015327156,0.06461473,-0.008445783,0.0,0.0,0.0,0.0,0.0
17,-0.06714633,0.29644677,-0.022804797,0.06725963,-0.006794241,0.0,0.0,0.0,0.0,0.0
18,-0.054956436,0.2984052,-0.028772058,0.06970499,-0.0046707694,0.0,1.0,0.0,0.0,0.0
19,-0.066165835,0.2989648,-0.060651332,0.07616836,-0.0017241952,0.0,0.0,0.0,0.0,0.0
20,-0.08065796,0.32059225,-0.056146264,0.08039183,-0.00606487,1.0,0.0,0.0,0.0,0.0
21,-0.075603634,0.30344617,-0.060364276,0.0726569,-0.0023990334,0.0,0.0,0.0,0.0,0.0
22,-0.06550154,0.2832154,-0.06144303,0.064390436,0.0022643893,0.0,-1.0,0.0,0.0,0.0
23,-0.051876217,0.26283023,-0.058514476,0.056541815,0.007392119,0.0,0.0,0.0,0.0,0.0
24,-0.040150493,0.24358734,-0.054460645,0.04869111,0.012083532,2.0000000000000004,0.0,0.0,0.0,0.0
25,-0.056992978,0.2249539,-0.07250491,0.045365226,0.01565566,0.0,0.0,0.0,0.0,0.0
26,-0.078458995,0.23370832,-0.054083467,0.042568743,0.010867553,0.0,0.0,0.0,0.0,0.0
27,-0.08141598,0.24468917,-0.013777137,0.03659021,0.0022466476,0.0,0.0,0.0,0.0,0.0
28,-0.078042954,0.2213906,-0.021247268,0.031138718,0.0052285376,0.0,0.0,0.0,0.0,0.0
29,-0.07512382,0.21068366,-0.026561975,0.031117756,0.005988195,0.0,0.0,0.0,0.0,0.0
30,-0.06891942,0.20276225,-0.029907139,0.03157619,0.007622387,0.0,0.0,0.0,0.0,0.0
31,-0.06120345,0.20086971,-0.03215477,0.032638952,0.00978522,0.0,0.0,0.0,0.0,0.0
32,-0.07241762,0.22564939,-0.017324448,0.038125902,0.006209589,0.0,0.0,0.0,0.0,0.0
33,-0.094937146,0.24647582,-0.010295957,0.04221511,0.00015743589,0.0,0.0,0.0,0.0,0.0
34,-0.10088986,0.24378256,-0.023503035,0.04244667,-0.0015278575,0.0,0.0,0.0,0.0,0.0
35,-0.10568893,0.25238505,-0.03208822,0.047599323,-0.0042459746,0.0,0.0,0.0,0.0,0.0
36,-0.097274095,0.24556544,-0.038315,0.048332565,-0.002985504,0.0,0.0,0.0,0.0,0.0
37,-0.08537209,0.24122651,-0.041198283,0.0497674,-0.0009328206,0.0,0.0,0.0,0.0,0.0
38,-0.0722546,0.24245946,-0.04172775,0.0519813,0.0017728298,0.0,0.0,0.0,0.0,0.0
39,-0.08307016,0.266812,-0.026812315,0.057270184,-0.0014004079,0.0,0.0,0.0,0.0,0.0
40,-0.10430282,0.28613764,-0.019680351,0.060920957,-0.0068552555,0.0,0.0,0.0,0.0,0.0
41,-0.10025254,0.26570788,-0.03295356,0.054983553,-0.0041809143,0.0,0.0,0.0,0.0,0.0
42,-0.095073044,0.25632846,-0.043735266,0.05462402,-0.0035526515,0.0,0.0,0.0,0.0,0.0
43,-0.08550769,0.24786071,-0.050636917,0.055027153,-0.0020860978,0.0,0.0,0.0,0.0,0.0
44,-0.06366438,0.22402452,-0.053976655,0.049543027,0.0044728084,0.0,0.0,0.0,0.0,0.0
