,brand u199P train,brand T75q train,brand d194w train,brand N97e train,brand r18p train,brand m179b train,brand L211K train,brand p57S train,brand M9H train,brand o21V train,brand b75G train,brand P144q train,brand Y206o train,brand N239O train,brand L115J train,brand m184o train,brand q92a train,brand M147U train,brand u199P actual,brand T75q actual,brand d194w actual,brand N97e actual,brand r18p actual,brand m179b actual,brand L211K actual,brand p57S actual,brand M9H actual,brand o21V actual,brand b75G actual,brand P144q actual,brand Y206o actual,brand N239O actual,brand L115J actual,brand m184o actual,brand q92a actual,brand M147U actual
0,14.283426,17.335728,21.60069,19.070377,14.551152,6.6129293,17.716366,4.8268876,53.99476,2.592558,0.94048977,8.926057,0.5162018,4.148802,-0.66088957,1.865263,0.63038814,0.0017217807,18.0,28.5,38.5,33.5,64.5,11.5,29.000000000000004,6.0,32.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.200755,17.522137,21.786516,19.204351,14.368036,6.6419926,18.599913,4.7671046,54.844833,2.5660276,0.89115226,10.908426,0.503627,4.336093,-0.35853603,2.0529957,0.6399311,0.0020038392,20.0,32.0,22.500000000000004,5.0,30.999999999999996,24.5,21.5,13.5,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16.470644,17.492287,21.65823,19.13504,13.722798,6.5094004,19.629623,4.56319,55.285046,2.4645858,0.7993363,14.295158,0.47284725,4.530286,0.1714158,2.3021526,0.6454195,0.0026324298,22.0,23.0,44.0,19.5,52.0,12.0,57.0,15.5,22.499999999999996,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.09967,17.237679,21.416807,18.926899,13.99322,6.48508,18.39206,4.655164,54.10195,2.5005744,0.86675984,11.473439,0.48917103,4.288799,-0.2824672,2.0651357,0.63535506,0.0024055578,8.0,30.0,27.499999999999996,15.0,62.5,4.5,27.5,13.000000000000002,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14.4387455,17.204937,21.431335,18.909363,14.2739315,6.533127,17.831696,4.739549,53.72395,2.5451565,0.9108869,9.74414,0.5036501,4.1807766,-0.53932256,1.9392211,0.63074505,0.002042167,7.0,8.0,26.0,3.0,28.0,11.5,28.0,10.0,21.500000000000004,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.7154455,17.28533,21.4302,18.95926,13.766827,6.452801,18.914679,4.584262,54.47888,2.4657965,0.8288984,12.95541,0.4775204,4.3879566,-0.05047491,2.176557,0.6390689,0.0026458744,14.0,18.5,26.500000000000004,7.5,32.0,12.5,29.5,1.0,55.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.340888,16.917192,21.135397,18.682774,14.409929,6.467187,16.748774,4.7819586,52.537693,2.5633497,0.9639099,7.4985323,0.5158708,3.950745,-0.8763458,1.7215912,0.6179873,0.0017208718,7.0,15.0,19.499999999999996,4.0,35.0,19.5,5.0,3.0,21.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14.656841,17.2405,21.48101,18.903034,14.224862,6.549473,18.07363,4.71855,53.872143,2.5377934,0.8959534,10.259997,0.5002492,4.2422934,-0.46029383,2.0072932,0.6333692,0.002102716,10.5,15.0,12.0,8.5,9.0,2.0,13.0,1.0,18.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.276783,17.154646,20.986496,18.869164,12.042601,6.018689,21.43153,4.028819,55.454323,2.2108967,0.60672885,21.482735,0.40577066,4.7551513,1.4308513,2.6706128,0.63554776,0.0033111945,4.5,24.5,15.5,9.5,26.0,6.0,9.0,4.5,35.5,3.0,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
9,12.51512,16.591833,20.76886,18.427654,14.355367,6.347968,15.857159,4.7652726,51.388535,2.550849,0.9946916,5.9660044,0.5192931,3.7496896,-1.0915473,1.5506694,0.60589445,0.0015994906,44.0,15.0,11.0,15.0,20.0,4.0,17.5,5.499999999999999,126.00000000000001,2.0,7.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0
