,brand t140p train,brand v177j train,brand T75q train,brand w32S train,brand G56h train,brand t140p actual,brand v177j actual,brand T75q actual,brand w32S actual,brand G56h actual
0,-0.09027889,-0.09430399,-0.17786634,-0.022811279,-0.0045092767,0.0,0.0,1.0,0.0,0.0
1,-0.119170904,-0.0907538,-0.15536958,-0.024721846,-0.013132992,0.0,0.0,0.0,0.0,0.0
2,-0.13808018,-0.0832375,-0.13569373,-0.02535115,-0.018764975,0.0,0.0,1.0,0.0,0.0
3,-0.14230764,-0.07893102,-0.13568267,-0.023978133,-0.018828347,0.0,0.0,0.0,0.0,0.0
4,-0.14690219,-0.07319555,-0.13247395,-0.022695558,-0.019100688,0.0,0.0,0.0,0.0,0.0
5,-0.1521135,-0.06701956,-0.12593216,-0.021788161,-0.019680573,0.0,1.0,0.0,0.0,0.0
6,-0.14267622,-0.065287575,-0.12718907,-0.021130117,-0.017750174,0.0,0.0,0.0,0.0,0.0
7,-0.151913,-0.059423104,-0.107744366,-0.022190932,-0.022239653,0.0,0.0,0.0,0.0,0.0
8,-0.16556038,-0.054058567,-0.09038061,-0.023285668,-0.027305497,0.0,0.0,0.0,0.0,0.0
9,-0.1637896,-0.053101808,-0.09396276,-0.02233537,-0.026621565,0.0,0.0,0.0,0.0,0.0
10,-0.16081496,-0.051695764,-0.09699583,-0.021371422,-0.025739439,0.0,0.0,0.0,0.0,0.0
11,-0.15673636,-0.04986535,-0.09887588,-0.020487342,-0.024777152,0.0,0.0,0.0,0.0,0.0
12,-0.15186174,-0.047760792,-0.09945625,-0.0197369,-0.023846408,0.0,0.0,0.0,0.0,0.0
13,-0.14691202,-0.046374664,-0.101053834,-0.01895719,-0.022839412,0.0,0.0,0.0,0.0,0.0
14,-0.16047648,-0.041020863,-0.083835065,-0.020076642,-0.027944058,0.0,0.0,0.0,0.0,0.0
15,-0.1587551,-0.04007058,-0.087361306,-0.019123992,-0.027251998,0.0,0.0,0.0,0.0,0.0
16,-0.15585376,-0.03868281,-0.09035975,-0.018160388,-0.026367819,0.0,0.0,0.0,0.0,0.0
17,-0.15144287,-0.037218824,-0.092915714,-0.0172901,-0.025320653,0.0,0.0,0.0,0.0,0.0
18,-0.14515458,-0.036232725,-0.09563398,-0.016568381,-0.024065617,0.0,1.0,0.0,0.0,0.0
19,-0.13697451,-0.037021063,-0.10133484,-0.015833806,-0.022325289,0.0,0.0,0.0,0.0,0.0
20,-0.14516546,-0.0357373,-0.09247783,-0.016873406,-0.02604879,1.0,0.0,0.0,0.0,0.0
21,-0.13581364,-0.041227475,-0.10815555,-0.016055033,-0.022991173,0.0,0.0,0.0,0.0,0.0
22,-0.1226504,-0.048722386,-0.12598681,-0.015710937,-0.018818215,0.0,-1.0,0.0,0.0,0.0
23,-0.10550974,-0.05819556,-0.14416835,-0.015985686,-0.013738671,0.0,0.0,0.0,0.0,0.0
24,-0.10065599,-0.064874105,-0.15072995,-0.017236207,-0.011087023,2.0000000000000004,0.0,0.0,0.0,0.0
25,-0.095214754,-0.07405601,-0.1573385,-0.018930564,-0.008203919,0.0,0.0,0.0,0.0,0.0
26,-0.10871856,-0.08057015,-0.14383894,-0.022279453,-0.011730756,0.0,0.0,0.0,0.0,0.0
27,-0.1261416,-0.08753652,-0.13105848,-0.02542159,-0.015688077,0.0,0.0,0.0,0.0,0.0
28,-0.12759274,-0.08332421,-0.13218918,-0.02406697,-0.015151779,0.0,0.0,0.0,0.0,0.0
29,-0.12880719,-0.077597424,-0.12997556,-0.02280807,-0.014652329,0.0,0.0,0.0,0.0,0.0
30,-0.13055882,-0.070423044,-0.12363237,-0.02170597,-0.014548402,0.0,0.0,0.0,0.0,0.0
31,-0.13380004,-0.06258039,-0.113511145,-0.020889841,-0.015058877,0.0,0.0,0.0,0.0,0.0
32,-0.14046831,-0.05626557,-0.094462395,-0.02173679,-0.018946137,0.0,0.0,0.0,0.0,0.0
33,-0.15246241,-0.051514722,-0.07969633,-0.02247971,-0.023355966,0.0,0.0,0.0,0.0,0.0
34,-0.14958954,-0.05172871,-0.08759037,-0.021078322,-0.021924114,0.0,0.0,0.0,0.0,0.0
35,-0.159984,-0.05498992,-0.09364337,-0.020887917,-0.023489662,0.0,0.0,0.0,0.0,0.0
36,-0.15409163,-0.054294027,-0.0999659,-0.01970727,-0.021539133,0.0,0.0,0.0,0.0,0.0
37,-0.14624535,-0.053012475,-0.10388684,-0.018758643,-0.019521948,0.0,0.0,0.0,0.0,0.0
38,-0.13708664,-0.05142113,-0.105398476,-0.018096209,-0.017632734,0.0,0.0,0.0,0.0,0.0
39,-0.14615266,-0.04575114,-0.08635306,-0.019194279,-0.022100156,0.0,0.0,0.0,0.0,0.0
40,-0.15997945,-0.041448675,-0.07146621,-0.020202361,-0.026934128,0.0,0.0,0.0,0.0,0.0
41,-0.15747277,-0.041687742,-0.079360455,-0.01898133,-0.025464015,0.0,0.0,0.0,0.0,0.0
42,-0.1519443,-0.041229278,-0.087524444,-0.017615203,-0.023281038,0.0,0.0,0.0,0.0,0.0
43,-0.14364152,-0.03995584,-0.094197035,-0.01629278,-0.020717913,0.0,0.0,0.0,0.0,0.0
44,-0.1320961,-0.03779424,-0.098819554,-0.015116469,-0.017773386,0.0,0.0,0.0,0.0,0.0
45,-0.11838852,-0.035187043,-0.10132378,-0.014116755,-0.014774152,0.0,0.0,0.0,0.0,0.0
46,-0.12190616,-0.028861567,-0.084187835,-0.014853861,-0.018012464,0.0,0.0,0.0,0.0,0.0
47,-0.1283293,-0.024638273,-0.07269788,-0.015470805,-0.021210864,0.0,0.0,0.0,0.0,0.0
48,-0.13203709,-0.029566064,-0.08342117,-0.015062502,-0.021216162,0.0,0.0,0.0,0.0,0.0
49,-0.11746107,-0.031973206,-0.09843862,-0.013455516,-0.017060723,0.0,0.0,0.0,0.0,0.0
50,-0.0971937,-0.03452123,-0.113918155,-0.011878556,-0.011902847,0.0,0.0,0.0,0.0,0.0
51,-0.08988565,-0.04223308,-0.126369,-0.011953791,-0.010156964,0.0,0.0,0.0,0.0,0.0
52,-0.060413316,-0.04869788,-0.14294294,-0.010794571,-0.0034657577,0.0,0.0,0.0,0.0,0.0
53,-0.062675685,-0.048282936,-0.12913045,-0.0116296485,-0.0058246152,0.0,0.0,0.0,0.0,0.0
54,-0.078416005,-0.052437797,-0.114420295,-0.013520918,-0.0112047605,0.0,0.0,0.0,0.0,0.0
55,-0.06622581,-0.059080362,-0.11920115,-0.012529362,-0.008166022,0.0,0.0,0.0,0.0,0.0
56,-0.051699117,-0.06514907,-0.11842719,-0.011655949,-0.0054832734,0.0,0.0,0.0,0.0,0.0
57,-0.05200608,-0.07416083,-0.109230965,-0.012447373,-0.0074567436,0.0,0.0,0.0,0.0,0.0
58,-0.049920067,-0.06504384,-0.09990394,-0.01151321,-0.0071555832,0.0,0.0,0.0,0.0,0.0
59,-0.06896822,-0.052241348,-0.06711197,-0.01253739,-0.0133912545,0.0,0.0,0.0,0.0,0.0
