Date,Year,eid ul fitr,eid ul Adha,Wheat Harvest,Cotton Harvest,brand u199P,brand T75q,brand d194w,brand N97e,brand r18p,brand m179b,brand L211K,brand p57S,brand M9H,brand o21V,brand b75G,brand P144q,brand Y206o,brand N239O,brand L115J,brand m184o,brand q92a,brand M147U,January,February,March,April,May,June,July,August,September,October,November,December,Muharram,Safar,Rabi al Awwal,Rabi ath Thani,Jamada al Ula,Jumada ath Thaniyah,Rajab,Shaban,Ramadan,Shawal,Dhu al Qa'dah,Dhu al Hijah
2017-04-30,2017,0.0,0.0,0.9,0.0,3.0,9.0,16.0,9.0,15.0,8.0,7.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-05-31,2017,0.0,0.0,1.0,0.0,5.0,9.0,8.0,15.0,22.0,5.0,18.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-06-30,2017,0.5,0.0,0.0,0.0,15.0,25.0,32.0,25.0,64.0,11.0,29.0,5.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-07-31,2017,0.0,0.0,0.0,0.0,19.0,28.0,21.0,5.0,27.0,24.0,21.0,11.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-08-31,2017,0.0,0.16666666666666666,0.0,0.0,18.0,18.0,36.0,18.0,42.0,10.0,47.0,14.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-09-30,2017,0.0,0.06666666666666667,0.0,0.0,8.0,30.0,25.0,15.0,59.0,4.0,26.0,11.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-10-31,2017,0.0,0.0,0.0,1.0,7.0,7.0,24.0,3.0,25.0,10.0,26.0,10.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-30,2017,0.0,0.0,0.0,0.9666666666666667,13.0,17.0,25.0,7.0,31.0,12.0,29.0,1.0,51.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-12-31,2017,0.0,0.0,0.0,0.0,7.0,14.0,18.0,4.0,28.0,15.0,5.0,3.0,17.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2018-01-31,2018,0.0,0.0,0.0,0.0,9.0,14.0,12.0,7.0,9.0,2.0,12.0,1.0,18.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
