Date,Average Discount,Year,Month,Day,Week Day,Week End,Hijri Dates,eid ul fitr,eid ul Adha,Muharrum,Wheat Harvest,Cotton Harvest,brand t140p,brand v177j,brand T75q,brand w32S,brand G56h
2017-04-01,21,2017,4,1,0,1,74,0,0,0,1,0,0,0,0,0,0
2017-04-02,0,2017,4,2,0,1,75,0,0,0,1,0,1,0,0,0,0
2017-04-03,0,2017,4,3,1,0,76,0,0,0,1,0,1,0,0,0,0
2017-04-04,0,2017,4,4,1,0,77,0,0,0,1,0,0,0,0,0,0
2017-04-06,0,2017,4,6,1,0,79,0,0,0,1,0,0,0,0,0,0
2017-04-07,0,2017,4,7,1,0,710,0,0,0,1,0,0,0,0,0,0
2017-04-08,0,2017,4,8,0,1,711,0,0,0,1,0,0,0,0,0,0
2017-04-09,0,2017,4,9,0,1,712,0,0,0,1,0,0,0,1,0,0
2017-04-10,0,2017,4,10,1,0,713,0,0,0,1,0,0,0,0,0,0
2017-04-11,0,2017,4,11,1,0,714,0,0,0,1,0,0,0,1,0,0
2017-04-12,0,2017,4,12,1,0,715,0,0,0,1,0,0,0,0,0,0
2017-04-13,0,2017,4,13,1,0,716,0,0,0,1,0,0,0,0,0,0
2017-04-14,0,2017,4,14,1,0,717,0,0,0,1,0,0,1,0,0,0
2017-04-16,0,2017,4,16,0,1,719,0,0,0,1,0,0,0,0,0,0
2017-04-17,0,2017,4,17,1,0,720,0,0,0,1,0,0,0,0,0,0
2017-04-18,0,2017,4,18,1,0,721,0,0,0,1,0,0,0,0,0,0
2017-04-19,0,2017,4,19,1,0,722,0,0,0,1,0,0,0,0,0,0
2017-04-20,0,2017,4,20,1,0,723,0,0,0,1,0,0,0,0,0,0
2017-04-21,0,2017,4,21,1,0,724,0,0,0,1,0,0,0,0,0,0
2017-04-23,0,2017,4,23,0,1,726,0,0,0,1,0,0,0,0,0,0
2017-04-24,0,2017,4,24,1,0,727,0,0,0,1,0,0,0,0,0,0
2017-04-25,0,2017,4,25,1,0,728,0,0,0,1,0,0,0,0,0,0
2017-04-26,0,2017,4,26,1,0,729,0,0,0,1,0,0,0,0,0,0
2017-04-27,0,2017,4,27,1,0,81,0,0,0,1,0,0,0,0,0,0
2017-04-28,0,2017,4,28,1,0,82,0,0,0,1,0,0,0,0,0,0
2017-04-29,0,2017,4,29,0,1,83,0,0,0,1,0,0,1,0,0,0
2017-04-30,0,2017,4,30,0,1,84,0,0,0,1,0,0,0,0,0,0
2017-05-01,0,2017,5,1,1,0,85,0,0,0,1,0,1,0,0,0,0
2017-05-03,0,2017,5,3,1,0,87,0,0,0,1,0,0,0,0,0,0
2017-05-04,0,2017,5,4,1,0,88,0,0,0,1,0,0,-1,0,0,0
2017-05-05,0,2017,5,5,1,0,89,0,0,0,1,0,0,0,0,0,0
2017-05-06,0,2017,5,6,0,1,810,0,0,0,1,0,2,0,0,0,0
2017-05-07,0,2017,5,7,0,1,811,0,0,0,1,0,0,0,0,0,0
2017-05-08,0,2017,5,8,1,0,812,0,0,0,1,0,0,0,0,0,0
2017-05-09,20,2017,5,9,1,0,813,0,0,0,1,0,0,0,0,0,0
2017-05-10,0,2017,5,10,1,0,814,0,0,0,1,0,0,0,0,0,0
2017-05-11,0,2017,5,11,1,0,815,0,0,0,1,0,0,0,0,0,0
2017-05-12,0,2017,5,12,1,0,816,0,0,0,1,0,0,0,0,0,0
2017-05-13,0,2017,5,13,0,1,817,0,0,0,1,0,0,0,0,0,0
2017-05-14,0,2017,5,14,0,1,818,0,0,0,1,0,0,0,0,0,0
2017-05-15,0,2017,5,15,1,0,819,0,0,0,1,0,0,0,0,0,0
2017-05-16,0,2017,5,16,1,0,820,0,0,0,1,0,0,0,0,0,0
2017-05-17,0,2017,5,17,1,0,821,0,0,0,1,0,0,0,0,0,0
2017-05-18,0,2017,5,18,1,0,822,0,0,0,1,0,0,0,0,0,0
2017-05-19,0,2017,5,19,1,0,823,0,0,0,1,0,0,0,0,0,0
2017-05-20,0,2017,5,20,0,1,824,0,0,0,1,0,0,0,0,0,0
