,brand t140p train,brand v177j train,brand T75q train,brand w32S train,brand G56h train,brand t140p actual,brand v177j actual,brand T75q actual,brand w32S actual,brand G56h actual
0,1.8624943,1.965981,3.981863,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1,1.0156265,2.0002666,2.0103014,0.0,0.0,1.0,2.0,2.0,0.0,0.0
2,3.7395175,0.0,3.9998503,0.014772391,0.0,4.0,0.0,4.0,0.0,0.0
3,11.064985,0.9992897,0.9987519,0.0,0.0,11.0,1.0,1.0,0.0,0.0
4,6.0826216,0.0,4.9870915,0.0,0.0,6.0,0.0,5.0,0.0,0.0
5,9.004803,0.0,3.978854,0.9872283,0.0,9.0,4.0,4.0,1.0,0.0
6,4.965156,0.0,1.9916035,0.0,0.0,5.0,1.0,2.0,0.0,0.0
7,2.1586473,0.0,2.9788013,0.0,0.0,2.0,0.0,3.0,0.0,0.0
8,6.993889,0.0,0.9910673,0.0,0.0,7.0,1.0,1.0,0.0,0.0
9,4.492025,0.0,0.91568756,0.14501777,0.0,4.0,0.0,1.0,0.0,0.0
10,6.0108776,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
11,9.963463,0.0,4.0167093,1.0132132,0.0,10.0,1.0,4.0,1.0,0.0
12,7.038182,0.0,2.9894834,6.0166445,0.0,7.0,0.0,3.0,6.0,0.0
13,1.1352453,2.0270948,5.015507,0.0,0.0,1.0,2.0,5.0,1.0,0.0
14,3.415968,0.0,1.0085404,0.94445443,0.0,3.0,0.0,1.0,1.0,0.0
15,7.952774,0.0,1.983102,0.0,0.0,8.0,0.0,2.0,0.0,0.0
16,8.005884,0.0,2.972916,2.0013824,0.0,8.0,0.0,3.0,2.0,2.0
17,11.99592,0.0,6.9984217,0.0,0.0,12.0,0.0,7.0,0.0,0.0
18,9.990503,9.972201,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
19,9.8768835,0.0,1.0022452,0.0,0.0,10.0,0.0,1.0,0.0,0.0
20,6.9869156,0.0,6.005765,0.0,0.0,7.0,0.0,6.0,1.0,1.0
21,4.3008533,0.0,1.1962328,0.82075053,0.0,5.0,0.0,1.0,1.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3.0213895,0.0,0.0,1.0201391,0.0,3.0,0.0,0.0,1.0,0.0
24,1.9829888,0.0,0.0,0.9775417,0.0,2.0,0.0,0.0,1.0,0.0
25,4.1014795,0.0,0.0,0.11929679,0.0,4.0,0.0,0.0,0.0,0.0
26,10.0122385,0.0,0.0,1.9742502,2.006709,10.0,0.0,0.0,2.0,2.0
27,9.044945,0.0,0.0,0.013634702,3.985802,9.0,0.0,0.0,0.0,4.0
28,14.976732,0.0,0.0,2.0028489,1.0157703,15.0,0.0,0.0,2.0,1.0
29,8.062463,0.0,0.0,3.0107455,3.9737654,8.0,0.0,2.0,3.0,4.0
30,3.9738026,0.0,0.0,0.9877407,2.0056095,4.0,0.0,0.0,1.0,2.0
31,6.824994,0.0,0.0,1.9923437,3.0557382,7.0,0.0,0.0,2.0,3.0000000000000004
32,1.9985224,0.9992948,0.0,0.99957836,0.998814,2.0,1.0,0.0,1.0,1.0
33,0.0,0.048315898,0.0,0.0,0.15459901,0.0,0.0,0.0,0.0,0.0
34,0.7732148,0.45204306,0.0,0.5026776,0.39808285,0.0,0.0,0.0,0.0,0.0
35,2.640953,0.55912286,0.0,0.87358785,0.70099664,2.0,0.0,0.0,1.0,0.0
36,5.1391025,1.3045967,0.0,1.123874,0.6967687,1.0,0.0,0.0,2.0,0.0
37,3.583508,0.55029756,0.0,0.98818654,1.2175418,2.0,0.0,0.0,1.0,1.0
38,8.411103,0.04732987,0.0,1.8184495,1.4979964,0.0,1.0,0.0,4.0,2.0
39,7.23398,0.0,0.0,0.91680264,2.82898,9.0,0.0,1.0,6.0,5.0
40,15.192661,0.0,0.0,1.9468503,1.1189318,5.0,0.0,0.0,7.0,0.0
41,9.42774,0.0,0.0,3.1002662,4.4679003,5.0,0.0,0.0,1.0,0.0
