,brand t140p train,brand v177j train,brand T75q train,brand w32S train,brand G56h train,brand t140p actual,brand v177j actual,brand T75q actual,brand w32S actual,brand G56h actual
0,3.0810795,1.2232943,4.116685,0.10043204,0.0,2.0,2.0,4.0,0.0,0.0
1,1.487175,1.1576285,2.2363477,0.08658666,0.0,1.0,2.0,2.0,0.0,0.0
2,2.4135754,1.1194663,3.03762,0.12992412,0.0,4.0,0.0,4.0,0.0,0.0
3,9.349566,1.523107,1.6934623,1.2101762,0.15458606,11.0,1.0,1.0,0.0,0.0
4,5.4522867,0.94199,4.931189,0.3005326,0.0,6.0,0.0,5.0,0.0,0.0
5,9.087043,1.412467,3.9395406,0.91236293,0.0,9.0,4.0,4.0,1.0,0.0
6,4.1659417,1.0464146,1.803294,0.5012901,0.0,5.0,1.0,2.0,0.0,0.0
7,3.069308,1.0414097,2.9829345,0.22725278,0.0,2.0,0.0,3.0,0.0,0.0
8,6.182068,1.3055243,1.3720858,0.83092177,0.0,7.0,1.0,1.0,0.0,0.0
9,3.698071,0.9535966,0.9537053,0.51577175,0.0,4.0,0.0,1.0,0.0,0.0
10,5.0942388,1.0755802,0.5677797,0.76036596,0.27116865,6.0,0.0,0.0,0.0,0.0
11,8.765628,1.2506843,4.152225,0.79786646,0.0,10.0,1.0,4.0,1.0,0.0
12,9.601372,1.5465043,2.4075778,1.1628673,0.0,7.0,0.0,3.0,6.0,0.0
13,0.33365843,1.7410837,4.559009,0.0,0.0,1.0,2.0,5.0,1.0,0.0
14,3.1999562,0.8722948,0.914192,0.4539762,0.0,3.0,0.0,1.0,1.0,0.0
15,10.2099695,1.1110007,1.2717719,1.4022715,0.80268824,8.0,0.0,2.0,0.0,0.0
16,10.430017,0.867196,1.1995051,1.4451257,1.0103753,8.0,0.0,3.0,2.0,2.0
17,11.588897,0.08827768,6.655922,0.4364435,0.0,12.0,0.0,7.0,0.0,0.0
18,8.791236,1.4392984,1.3060262,1.2101223,0.33019906,10.0,10.0,0.0,0.0,0.0
19,8.554682,1.2290912,1.1716458,1.1636504,0.4894712,10.0,0.0,1.0,0.0,0.0
20,6.665543,0.8934614,5.581903,0.36056712,0.0,7.0,0.0,6.0,1.0,1.0
21,5.267097,1.1456435,0.95929223,0.73929554,0.04750084,5.0,0.0,1.0,1.0,0.0
22,2.2723584,0.9468517,0.0,0.8833544,0.8381579,0.0,0.0,0.0,0.0,0.0
23,2.722229,0.8934089,0.0,1.0364248,1.0364034,3.0,0.0,0.0,1.0,0.0
24,2.4083993,0.9686541,0.0,0.9900217,0.96597433,2.0,0.0,0.0,1.0,0.0
25,2.872701,0.826885,0.34807667,0.50024194,0.24545288,4.0,0.0,0.0,0.0,0.0
26,8.02983,0.38107437,0.07285867,1.4158647,1.5607331,10.0,0.0,0.0,2.0,2.0
27,8.702772,0.0,0.0,1.6648806,2.731578,9.0,0.0,0.0,0.0,4.0
28,11.489655,0.0,0.84483206,1.7511945,1.8491244,15.0,0.0,0.0,2.0,1.0
29,8.428889,0.0,0.0,1.9033004,3.5237572,8.0,0.0,2.0,3.0,4.0
30,3.5969505,0.320556,0.0,1.2532077,1.587962,4.0,0.0,0.0,1.0,2.0
31,6.740363,0.0,0.0,1.795366,2.665594,7.0,0.0,0.0,2.0,3.0000000000000004
32,2.0911965,1.0624379,0.0,1.0600549,1.0275615,2.0,1.0,0.0,1.0,1.0
33,2.16592,1.0189393,0.0,1.00055,0.9655446,0.0,0.0,0.0,0.0,0.0
34,2.1045346,1.1124597,0.0,1.1626136,1.1422361,0.0,0.0,0.0,0.0,0.0
35,1.9865296,1.2286705,0.0,1.354759,1.3848038,2.0,0.0,0.0,1.0,0.0
36,2.1749022,1.0736008,0.0,1.1459391,1.1320748,1.0,0.0,0.0,2.0,0.0
37,2.115975,1.0775983,0.0,1.1450673,1.1325165,2.0,0.0,0.0,1.0,1.0
38,5.354083,0.0,0.0,1.9721658,3.624516,0.0,1.0,0.0,4.0,2.0
39,2.7745337,0.0,0.0,1.7320654,2.6620555,9.0,0.0,1.0,6.0,5.0
40,8.035655,0.0,0.0,2.0988543,5.4888144,5.0,0.0,0.0,7.0,0.0
41,2.514597,0.0,0.0,2.237541,5.285003,5.0,0.0,0.0,1.0,0.0
