Date,Sales,Average Discount,Year,Month,Day,Week Day,Week End,Hijri Dates,eid ul fitr,eid ul Adha,Muharrum,Wheat Harvest,Cotton Harvest
01/04/2017,16748,21,2017,4,1,0,1,74,0,0,0,1,0
02/04/2017,11340,0,2017,4,2,0,1,75,0,0,0,1,0
03/04/2017,5331,0,2017,4,3,1,0,76,0,0,0,1,0
04/04/2017,1300,0,2017,4,4,1,0,77,0,0,0,1,0
06/04/2017,14660,0,2017,4,6,1,0,79,0,0,0,1,0
07/04/2017,15095,0,2017,4,7,1,0,710,0,0,0,1,0
08/04/2017,3530,0,2017,4,8,0,1,711,0,0,0,1,0
09/04/2017,33555,0,2017,4,9,0,1,712,0,0,0,1,0
10/04/2017,3840,0,2017,4,10,1,0,713,0,0,0,1,0
11/04/2017,4890,0,2017,4,11,1,0,714,0,0,0,1,0
12/04/2017,3690,0,2017,4,12,1,0,715,0,0,0,1,0
13/04/2017,3195,0,2017,4,13,1,0,716,0,0,0,1,0
14/04/2017,3440,0,2017,4,14,1,0,717,0,0,0,1,0
16/04/2017,10730,0,2017,4,16,0,1,719,0,0,0,1,0
17/04/2017,2350,0,2017,4,17,1,0,720,0,0,0,1,0
18/04/2017,33320,0,2017,4,18,1,0,721,0,0,0,1,0
19/04/2017,550,0,2017,4,19,1,0,722,0,0,0,1,0
20/04/2017,1995,0,2017,4,20,1,0,723,0,0,0,1,0
21/04/2017,15070,0,2017,4,21,1,0,724,0,0,0,1,0
23/04/2017,6500,0,2017,4,23,0,1,726,0,0,0,1,0
24/04/2017,11125,0,2017,4,24,1,0,727,0,0,0,1,0
25/04/2017,400,0,2017,4,25,1,0,728,0,0,0,1,0
26/04/2017,6450,0,2017,4,26,1,0,729,0,0,0,1,0
27/04/2017,2590,0,2017,4,27,1,0,81,0,0,0,1,0
28/04/2017,1590,0,2017,4,28,1,0,82,0,0,0,1,0
29/04/2017,5285,0,2017,4,29,0,1,83,0,0,0,1,0
30/04/2017,7885,0,2017,4,30,0,1,84,0,0,0,1,0
01/05/2017,7420,0,2017,5,1,1,0,85,0,0,0,1,0
03/05/2017,4090,0,2017,5,3,1,0,87,0,0,0,1,0
04/05/2017,550,0,2017,5,4,1,0,88,0,0,0,1,0
05/05/2017,5190,0,2017,5,5,1,0,89,0,0,0,1,0
06/05/2017,12115,0,2017,5,6,0,1,810,0,0,0,1,0
07/05/2017,11160,0,2017,5,7,0,1,811,0,0,0,1,0
08/05/2017,7122,0,2017,5,8,1,0,812,0,0,0,1,0
09/05/2017,11326,20,2017,5,9,1,0,813,0,0,0,1,0
10/05/2017,2885,0,2017,5,10,1,0,814,0,0,0,1,0
11/05/2017,9750,0,2017,5,11,1,0,815,0,0,0,1,0
12/05/2017,11372,0,2017,5,12,1,0,816,0,0,0,1,0
13/05/2017,27477,0,2017,5,13,0,1,817,0,0,0,1,0
14/05/2017,14703,0,2017,5,14,0,1,818,0,0,0,1,0
15/05/2017,3680,0,2017,5,15,1,0,819,0,0,0,1,0
16/05/2017,4585,0,2017,5,16,1,0,820,0,0,0,1,0
17/05/2017,2135,0,2017,5,17,1,0,821,0,0,0,1,0
18/05/2017,7120,0,2017,5,18,1,0,822,0,0,0,1,0
19/05/2017,1500,0,2017,5,19,1,0,823,0,0,0,1,0
20/05/2017,4925,0,2017,5,20,0,1,824,0,0,0,1,0
21/05/2017,15880,0,2017,5,21,0,1,825,0,0,0,1,0
22/05/2017,3875,20,2017,5,22,1,0,826,0,0,0,1,0
23/05/2017,9450,0,2017,5,23,1,0,827,0,0,0,1,0
24/05/2017,6670,0,2017,5,24,1,0,828,0,0,0,1,0
25/05/2017,21590,25,2017,5,25,1,0,829,0,0,0,1,0
26/05/2017,7883,0,2017,5,26,1,0,830,0,0,0,1,0
27/05/2017,4041,0,2017,5,27,0,1,91,0,0,0,1,0
28/05/2017,2882,15,2017,5,28,0,1,92,0,0,0,1,0
29/05/2017,8855,0,2017,5,29,1,0,93,0,0,0,1,0
30/05/2017,5800,0,2017,5,30,1,0,94,0,0,0,1,0
31/05/2017,8092,20,2017,5,31,1,0,95,0,0,0,1,0
01/06/2017,4746,0,2017,6,1,1,0,96,0,0,0,0,0
03/06/2017,4484,0,2017,6,3,0,1,98,0,0,0,0,0
04/06/2017,17902,20,2017,6,4,0,1,99,0,0,0,0,0
05/06/2017,1050,0,2017,6,5,1,0,910,0,0,0,0,0
06/06/2017,1440,0,2017,6,6,1,0,911,0,0,0,0,0
07/06/2017,6444,20,2017,6,7,1,0,912,0,0,0,0,0
08/06/2017,7865,0,2017,6,8,1,0,913,0,0,0,0,0
09/06/2017,4196,0,2017,6,9,1,0,914,0,0,0,0,0
10/06/2017,6937,20,2017,6,10,0,1,915,0,0,0,0,0
11/06/2017,18915,0,2017,6,11,0,1,916,0,0,0,0,0
12/06/2017,12265,20,2017,6,12,1,0,917,1,0,0,0,0
13/06/2017,4420,0,2017,6,13,1,0,918,1,0,0,0,0
14/06/2017,6645,0,2017,6,14,1,0,919,1,0,0,0,0
15/06/2017,9310,0,2017,6,15,1,0,920,1,0,0,0,0
16/06/2017,12480,20,2017,6,16,1,0,921,1,0,0,0,0
17/06/2017,15140,0,2017,6,17,0,1,922,1,0,0,0,0
18/06/2017,3935,0,2017,6,18,0,1,923,1,0,0,0,0
19/06/2017,11830,0,2017,6,19,1,0,924,1,0,0,0,0
20/06/2017,13885,0,2017,6,20,1,0,925,1,0,0,0,0
21/06/2017,28855,0,2017,6,21,1,0,926,1,0,0,0,0
22/06/2017,32831,0,2017,6,22,1,0,927,1,0,0,0,0
23/06/2017,35351,0,2017,6,23,1,0,928,1,0,0,0,0
24/06/2017,50260,20,2017,6,24,0,1,929,1,0,0,0,0
25/06/2017,54660,0,2017,6,25,0,1,101,1,0,0,0,0
26/06/2017,7380,0,2017,6,26,1,0,102,1,0,0,0,0
28/06/2017,8710,0,2017,6,28,1,0,104,0,0,0,0,0
29/06/2017,9130,0,2017,6,29,1,0,105,0,0,0,0,0
30/06/2017,5285,0,2017,6,30,1,0,106,0,0,0,0,0
01/07/2017,1765,0,2017,7,1,0,1,107,0,0,0,0,0
02/07/2017,4845,0,2017,7,2,0,1,108,0,0,0,0,0
03/07/2017,5890,0,2017,7,3,1,0,109,0,0,0,0,0
04/07/2017,24812,20,2017,7,4,1,0,1010,0,0,0,0,0
05/07/2017,14650,0,2017,7,5,1,0,1011,0,0,0,0,0
06/07/2017,5540,0,2017,7,6,1,0,1012,0,0,0,0,0
07/07/2017,28525,0,2017,7,7,1,0,1013,0,0,0,0,0
